Statistic,Quarter,Detailed Occupational Group,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,All NACE economic sectors,1550.3
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,"Agriculture, forestry and fishing (A)",135.6
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,Construction (F),103.7
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),219.5
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,Transportation and storage (H),65.6
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,Accommodation and food service activities (I),99.6
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,Information and communication (J),60.9
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,"Professional, scientific and technical activities (M)",71.4
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,Administrative and support service activities (N),49.0
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,Public administration and defence; compulsory social security (O),67.7
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,Education (P),93.9
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,Human health and social work activities (Q),121.7
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,Industry (B to E),313.2
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,"Financial, insurance and real estate activities (K, L)",62.6
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,Other NACE activities (R to U),78.1
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,Industry and Construction (B to F),416.9
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,Services (G to U),989.8
Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,Not stated,7.9
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials",All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials","Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials",Construction (F),
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials",Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials",Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials",Information and communication (J),
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials","Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials",Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials",Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials",Education (P),
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials",Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials",Industry (B to E),
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials","Financial, insurance and real estate activities (K, L)",
