Statistic,Quarterly,Full and Part Time Status,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,All NACE economic sectors,1550.3
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,"Agriculture, forestry and fishing (A)",135.6
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,Construction (F),103.7
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),219.5
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,Transportation and storage (H),65.6
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,Accommodation and food service activities (I),99.6
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,Information and communication (J),60.9
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,"Professional, scientific and technical activities (M)",71.4
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,Administrative and support service activities (N),49.0
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,Public administration and defence; compulsory social security (O),67.7
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,Education (P),93.9
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,Human health and social work activities (Q),121.7
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,Industry (B to E),313.2
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,"Financial, insurance and real estate activities (K, L)",62.6
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,Other NACE activities (R to U),78.1
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,Industry and Construction (B to F),416.9
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,Services (G to U),989.8
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,Not stated,7.9
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,All NACE economic sectors,1282.6
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,"Agriculture, forestry and fishing (A)",117.1
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,Construction (F),94.9
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),161.9
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,Transportation and storage (H),59.2
