Statistic,Quarter,Full and Part Time Status,Detailed Occupational Group,value
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,All occupational groups,1550.3
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1998Q1,All employment status,X1 Other/Not stated,1550.3
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,All occupational groups,1282.6
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,X1 Other/Not stated,1282.6
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,All occupational groups,267.7
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,X1 Other/Not stated,267.7
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,All occupational groups,1572.0
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,X1 Other/Not stated,1572.0
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,All occupational groups,1301.9
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,X1 Other/Not stated,1301.9
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,All occupational groups,270.0
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,X1 Other/Not stated,270.0
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,All occupational groups,1636.3
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,X1 Other/Not stated,1636.3
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,All occupational groups,1361.0
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,7 Sales and customer service,
