Statistic,Quarter,Detailed Occupational Group,value
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,All occupational groups,38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,X1 Other/Not stated,38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,All occupational groups,38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,X1 Other/Not stated,38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,All occupational groups,38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,"1 Managers, directors and senior officials",
