Statistic,Quarter,Permanency of Employment,NACE Rev 2 Economic Sector,value
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,All NACE economic sectors,1242.9
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,"Agriculture, forestry and fishing (A)",24.4
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,Construction (F),75.1
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),175.7
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,Transportation and storage (H),51.0
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,Accommodation and food service activities (I),80.0
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,Information and communication (J),55.5
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,"Professional, scientific and technical activities (M)",50.2
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,Administrative and support service activities (N),42.4
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,Public administration and defence; compulsory social security (O),67.5
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,Education (P),89.6
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,Human health and social work activities (Q),113.1
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,Industry (B to E),292.9
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,"Financial, insurance and real estate activities (K, L)",57.7
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,Other NACE activities (R to U),60.9
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,Industry and Construction (B to F),368.0
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,Services (G to U),843.5
Employees aged 15 years and over in Employment (ILO),1998Q1,All employees,Not stated,7.0
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,All NACE economic sectors,1072.2
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,"Agriculture, forestry and fishing (A)",20.7
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,Construction (F),60.2
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),153.5
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,Transportation and storage (H),47.7
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,Accommodation and food service activities (I),62.5
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,Information and communication (J),50.4
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,"Professional, scientific and technical activities (M)",44.6
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,Administrative and support service activities (N),35.8
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,Public administration and defence; compulsory social security (O),64.5
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,Education (P),68.7
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,Human health and social work activities (Q),93.5
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,Industry (B to E),269.5
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,"Financial, insurance and real estate activities (K, L)",53.1
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,Other NACE activities (R to U),43.8
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,Industry and Construction (B to F),329.8
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,Services (G to U),718.1
Employees aged 15 years and over in Employment (ILO),1998Q1,Permanent employees,Not stated,3.6
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,All NACE economic sectors,123.7
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,"Agriculture, forestry and fishing (A)",2.8
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,Construction (F),7.3
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),20.5
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,Transportation and storage (H),2.9
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,Accommodation and food service activities (I),16.2
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,Information and communication (J),4.1
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,"Professional, scientific and technical activities (M)",4.6
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,Administrative and support service activities (N),4.0
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,Public administration and defence; compulsory social security (O),2.2
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,Education (P),11.8
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,Human health and social work activities (Q),14.5
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,Industry (B to E),19.2
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,"Financial, insurance and real estate activities (K, L)",4.2
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,Other NACE activities (R to U),8.7
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,Industry and Construction (B to F),26.5
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,Services (G to U),93.6
Employees aged 15 years and over in Employment (ILO),1998Q1,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,All NACE economic sectors,47.0
