Statistic,Quarter,Extent of working at home,value
Persons aged 15 years and over in employment (ILO),1998Q1,Person usually works at home,
Persons aged 15 years and over in employment (ILO),1998Q1,Person sometimes works at home,
Persons aged 15 years and over in employment (ILO),1998Q1,Person never works at home,
Persons aged 15 years and over in employment (ILO),1998Q1,Not stated,1550.3
Persons aged 15 years and over in employment (ILO),1998Q1,All persons in employment,1550.3
Persons aged 15 years and over in employment (ILO),1998Q2,Person usually works at home,
Persons aged 15 years and over in employment (ILO),1998Q2,Person sometimes works at home,
Persons aged 15 years and over in employment (ILO),1998Q2,Person never works at home,
Persons aged 15 years and over in employment (ILO),1998Q2,Not stated,1572.0
Persons aged 15 years and over in employment (ILO),1998Q2,All persons in employment,1572.0
Persons aged 15 years and over in employment (ILO),1998Q3,Person usually works at home,
Persons aged 15 years and over in employment (ILO),1998Q3,Person sometimes works at home,
Persons aged 15 years and over in employment (ILO),1998Q3,Person never works at home,
Persons aged 15 years and over in employment (ILO),1998Q3,Not stated,1636.3
Persons aged 15 years and over in employment (ILO),1998Q3,All persons in employment,1636.3
Persons aged 15 years and over in employment (ILO),1998Q4,Person usually works at home,
Persons aged 15 years and over in employment (ILO),1998Q4,Person sometimes works at home,
Persons aged 15 years and over in employment (ILO),1998Q4,Person never works at home,
Persons aged 15 years and over in employment (ILO),1998Q4,Not stated,1615.7
Persons aged 15 years and over in employment (ILO),1998Q4,All persons in employment,1615.7
Persons aged 15 years and over in employment (ILO),1999Q1,Person usually works at home,
Persons aged 15 years and over in employment (ILO),1999Q1,Person sometimes works at home,
Persons aged 15 years and over in employment (ILO),1999Q1,Person never works at home,
Persons aged 15 years and over in employment (ILO),1999Q1,Not stated,1644.4
Persons aged 15 years and over in employment (ILO),1999Q1,All persons in employment,1644.4
Persons aged 15 years and over in employment (ILO),1999Q2,Person usually works at home,
Persons aged 15 years and over in employment (ILO),1999Q2,Person sometimes works at home,
Persons aged 15 years and over in employment (ILO),1999Q2,Person never works at home,
Persons aged 15 years and over in employment (ILO),1999Q2,Not stated,1679.2
Persons aged 15 years and over in employment (ILO),1999Q2,All persons in employment,1679.2
Persons aged 15 years and over in employment (ILO),1999Q3,Person usually works at home,
Persons aged 15 years and over in employment (ILO),1999Q3,Person sometimes works at home,
Persons aged 15 years and over in employment (ILO),1999Q3,Person never works at home,
Persons aged 15 years and over in employment (ILO),1999Q3,Not stated,1746.8
Persons aged 15 years and over in employment (ILO),1999Q3,All persons in employment,1746.8
Persons aged 15 years and over in employment (ILO),1999Q4,Person usually works at home,
Persons aged 15 years and over in employment (ILO),1999Q4,Person sometimes works at home,
Persons aged 15 years and over in employment (ILO),1999Q4,Person never works at home,
Persons aged 15 years and over in employment (ILO),1999Q4,Not stated,1723.1
Persons aged 15 years and over in employment (ILO),1999Q4,All persons in employment,1723.1
Persons aged 15 years and over in employment (ILO),2000Q1,Person usually works at home,
Persons aged 15 years and over in employment (ILO),2000Q1,Person sometimes works at home,
Persons aged 15 years and over in employment (ILO),2000Q1,Person never works at home,
Persons aged 15 years and over in employment (ILO),2000Q1,Not stated,1726.8
Persons aged 15 years and over in employment (ILO),2000Q1,All persons in employment,1726.8
Persons aged 15 years and over in employment (ILO),2000Q2,Person usually works at home,
Persons aged 15 years and over in employment (ILO),2000Q2,Person sometimes works at home,
Persons aged 15 years and over in employment (ILO),2000Q2,Person never works at home,
Persons aged 15 years and over in employment (ILO),2000Q2,Not stated,1758.2
Persons aged 15 years and over in employment (ILO),2000Q2,All persons in employment,1758.2
Persons aged 15 years and over in employment (ILO),2000Q3,Person usually works at home,
Persons aged 15 years and over in employment (ILO),2000Q3,Person sometimes works at home,
Persons aged 15 years and over in employment (ILO),2000Q3,Person never works at home,
Persons aged 15 years and over in employment (ILO),2000Q3,Not stated,1818.4
Persons aged 15 years and over in employment (ILO),2000Q3,All persons in employment,1818.4
Persons aged 15 years and over in employment (ILO),2000Q4,Person usually works at home,
Persons aged 15 years and over in employment (ILO),2000Q4,Person sometimes works at home,
Persons aged 15 years and over in employment (ILO),2000Q4,Person never works at home,
Persons aged 15 years and over in employment (ILO),2000Q4,Not stated,1787.6
Persons aged 15 years and over in employment (ILO),2000Q4,All persons in employment,1787.6
Persons aged 15 years and over in employment (ILO),2001Q1,Person usually works at home,194.6
Persons aged 15 years and over in employment (ILO),2001Q1,Person sometimes works at home,107.4
Persons aged 15 years and over in employment (ILO),2001Q1,Person never works at home,1426.5
Persons aged 15 years and over in employment (ILO),2001Q1,Not stated,51.8
Persons aged 15 years and over in employment (ILO),2001Q1,All persons in employment,1780.4
Persons aged 15 years and over in employment (ILO),2001Q2,Person usually works at home,186.8
Persons aged 15 years and over in employment (ILO),2001Q2,Person sometimes works at home,101.7
Persons aged 15 years and over in employment (ILO),2001Q2,Person never works at home,1348.1
Persons aged 15 years and over in employment (ILO),2001Q2,Not stated,173.0
Persons aged 15 years and over in employment (ILO),2001Q2,All persons in employment,1809.7
Persons aged 15 years and over in employment (ILO),2001Q3,Person usually works at home,188.6
Persons aged 15 years and over in employment (ILO),2001Q3,Person sometimes works at home,98.8
Persons aged 15 years and over in employment (ILO),2001Q3,Person never works at home,1384.0
Persons aged 15 years and over in employment (ILO),2001Q3,Not stated,195.5
Persons aged 15 years and over in employment (ILO),2001Q3,All persons in employment,1866.8
Persons aged 15 years and over in employment (ILO),2001Q4,Person usually works at home,190.1
Persons aged 15 years and over in employment (ILO),2001Q4,Person sometimes works at home,98.2
Persons aged 15 years and over in employment (ILO),2001Q4,Person never works at home,1385.4
Persons aged 15 years and over in employment (ILO),2001Q4,Not stated,159.4
Persons aged 15 years and over in employment (ILO),2001Q4,All persons in employment,1833.1
