Statistic,Quarter,NUTS3 regions,Extent of working at home,value
Persons aged 15 years and over in employment (ILO),2001Q1,Border,Person usually works at home,27.1
Persons aged 15 years and over in employment (ILO),2001Q1,Border,Person sometimes works at home,17.1
Persons aged 15 years and over in employment (ILO),2001Q1,Border,Person never works at home,142.3
Persons aged 15 years and over in employment (ILO),2001Q1,Border,Not stated,4.6
Persons aged 15 years and over in employment (ILO),2001Q1,Border,All persons in employment,191.1
Persons aged 15 years and over in employment (ILO),2001Q1,Dublin,Person usually works at home,21.5
Persons aged 15 years and over in employment (ILO),2001Q1,Dublin,Person sometimes works at home,49.7
Persons aged 15 years and over in employment (ILO),2001Q1,Dublin,Person never works at home,472.7
Persons aged 15 years and over in employment (ILO),2001Q1,Dublin,Not stated,15.3
Persons aged 15 years and over in employment (ILO),2001Q1,Dublin,All persons in employment,559.2
Persons aged 15 years and over in employment (ILO),2001Q1,Mid-East,Person usually works at home,16.8
Persons aged 15 years and over in employment (ILO),2001Q1,Mid-East,Person sometimes works at home,13.4
Persons aged 15 years and over in employment (ILO),2001Q1,Mid-East,Person never works at home,159.3
Persons aged 15 years and over in employment (ILO),2001Q1,Mid-East,Not stated,4.6
Persons aged 15 years and over in employment (ILO),2001Q1,Mid-East,All persons in employment,194.0
Persons aged 15 years and over in employment (ILO),2001Q1,Midland,Person usually works at home,13.3
Persons aged 15 years and over in employment (ILO),2001Q1,Midland,Person sometimes works at home,2.3
Persons aged 15 years and over in employment (ILO),2001Q1,Midland,Person never works at home,69.2
Persons aged 15 years and over in employment (ILO),2001Q1,Midland,Not stated,2.0
Persons aged 15 years and over in employment (ILO),2001Q1,Midland,All persons in employment,86.8
Persons aged 15 years and over in employment (ILO),2001Q1,Mid-West,Person usually works at home,23.4
Persons aged 15 years and over in employment (ILO),2001Q1,Mid-West,Person sometimes works at home,7.5
Persons aged 15 years and over in employment (ILO),2001Q1,Mid-West,Person never works at home,114.4
Persons aged 15 years and over in employment (ILO),2001Q1,Mid-West,Not stated,6.0
Persons aged 15 years and over in employment (ILO),2001Q1,Mid-West,All persons in employment,151.4
Persons aged 15 years and over in employment (ILO),2001Q1,South-East,Person usually works at home,28.6
Persons aged 15 years and over in employment (ILO),2001Q1,South-East,Person sometimes works at home,4.9
Persons aged 15 years and over in employment (ILO),2001Q1,South-East,Person never works at home,144.4
Persons aged 15 years and over in employment (ILO),2001Q1,South-East,Not stated,3.7
Persons aged 15 years and over in employment (ILO),2001Q1,South-East,All persons in employment,181.6
Persons aged 15 years and over in employment (ILO),2001Q1,South-West,Person usually works at home,31.6
Persons aged 15 years and over in employment (ILO),2001Q1,South-West,Person sometimes works at home,6.9
Persons aged 15 years and over in employment (ILO),2001Q1,South-West,Person never works at home,207.3
Persons aged 15 years and over in employment (ILO),2001Q1,South-West,Not stated,9.0
Persons aged 15 years and over in employment (ILO),2001Q1,South-West,All persons in employment,254.9
Persons aged 15 years and over in employment (ILO),2001Q1,West,Person usually works at home,32.3
Persons aged 15 years and over in employment (ILO),2001Q1,West,Person sometimes works at home,5.7
Persons aged 15 years and over in employment (ILO),2001Q1,West,Person never works at home,116.9
Persons aged 15 years and over in employment (ILO),2001Q1,West,Not stated,6.5
Persons aged 15 years and over in employment (ILO),2001Q1,West,All persons in employment,161.5
Persons aged 15 years and over in employment (ILO),2001Q1,Ireland,Person usually works at home,194.6
Persons aged 15 years and over in employment (ILO),2001Q1,Ireland,Person sometimes works at home,107.4
Persons aged 15 years and over in employment (ILO),2001Q1,Ireland,Person never works at home,1426.5
Persons aged 15 years and over in employment (ILO),2001Q1,Ireland,Not stated,51.8
Persons aged 15 years and over in employment (ILO),2001Q1,Ireland,All persons in employment,1780.4
Persons aged 15 years and over in employment (ILO),2001Q2,Border,Person usually works at home,26.7
Persons aged 15 years and over in employment (ILO),2001Q2,Border,Person sometimes works at home,16.1
Persons aged 15 years and over in employment (ILO),2001Q2,Border,Person never works at home,138.5
Persons aged 15 years and over in employment (ILO),2001Q2,Border,Not stated,14.1
Persons aged 15 years and over in employment (ILO),2001Q2,Border,All persons in employment,195.4
