Statistic,Quarter,Full and Part Time Status,Sex,value
Persons in employment (ILO),1998Q1,All employment status,Both sexes,1550.3
Persons in employment (ILO),1998Q1,All employment status,Male,934.9
Persons in employment (ILO),1998Q1,All employment status,Female,615.4
Persons in employment (ILO),1998Q1,Full-time,Both sexes,1282.6
Persons in employment (ILO),1998Q1,Full-time,Male,856.0
Persons in employment (ILO),1998Q1,Full-time,Female,426.6
Persons in employment (ILO),1998Q1,Part-time,Both sexes,267.7
Persons in employment (ILO),1998Q1,Part-time,Male,78.9
Persons in employment (ILO),1998Q1,Part-time,Female,188.9
Persons in employment (ILO),1998Q2,All employment status,Both sexes,1572.0
Persons in employment (ILO),1998Q2,All employment status,Male,948.2
Persons in employment (ILO),1998Q2,All employment status,Female,623.8
Persons in employment (ILO),1998Q2,Full-time,Both sexes,1301.9
Persons in employment (ILO),1998Q2,Full-time,Male,868.8
Persons in employment (ILO),1998Q2,Full-time,Female,433.1
Persons in employment (ILO),1998Q2,Part-time,Both sexes,270.0
Persons in employment (ILO),1998Q2,Part-time,Male,79.4
Persons in employment (ILO),1998Q2,Part-time,Female,190.7
Persons in employment (ILO),1998Q3,All employment status,Both sexes,1636.3
Persons in employment (ILO),1998Q3,All employment status,Male,982.8
Persons in employment (ILO),1998Q3,All employment status,Female,653.5
Persons in employment (ILO),1998Q3,Full-time,Both sexes,1361.0
Persons in employment (ILO),1998Q3,Full-time,Male,902.6
Persons in employment (ILO),1998Q3,Full-time,Female,458.4
Persons in employment (ILO),1998Q3,Part-time,Both sexes,275.3
Persons in employment (ILO),1998Q3,Part-time,Male,80.2
Persons in employment (ILO),1998Q3,Part-time,Female,195.1
Persons in employment (ILO),1998Q4,All employment status,Both sexes,1615.7
Persons in employment (ILO),1998Q4,All employment status,Male,973.9
Persons in employment (ILO),1998Q4,All employment status,Female,641.8
Persons in employment (ILO),1998Q4,Full-time,Both sexes,1346.7
Persons in employment (ILO),1998Q4,Full-time,Male,900.2
Persons in employment (ILO),1998Q4,Full-time,Female,446.5
Persons in employment (ILO),1998Q4,Part-time,Both sexes,269.0
Persons in employment (ILO),1998Q4,Part-time,Male,73.8
Persons in employment (ILO),1998Q4,Part-time,Female,195.3
Persons in employment (ILO),1999Q1,All employment status,Both sexes,1644.4
Persons in employment (ILO),1999Q1,All employment status,Male,982.9
Persons in employment (ILO),1999Q1,All employment status,Female,661.5
Persons in employment (ILO),1999Q1,Full-time,Both sexes,1363.7
Persons in employment (ILO),1999Q1,Full-time,Male,905.1
Persons in employment (ILO),1999Q1,Full-time,Female,458.6
Persons in employment (ILO),1999Q1,Part-time,Both sexes,280.7
Persons in employment (ILO),1999Q1,Part-time,Male,77.9
Persons in employment (ILO),1999Q1,Part-time,Female,202.8
Persons in employment (ILO),1999Q2,All employment status,Both sexes,1679.2
Persons in employment (ILO),1999Q2,All employment status,Male,1001.8
Persons in employment (ILO),1999Q2,All employment status,Female,677.4
Persons in employment (ILO),1999Q2,Full-time,Both sexes,1389.8
Persons in employment (ILO),1999Q2,Full-time,Male,921.5
Persons in employment (ILO),1999Q2,Full-time,Female,468.3
Persons in employment (ILO),1999Q2,Part-time,Both sexes,289.4
Persons in employment (ILO),1999Q2,Part-time,Male,80.4
Persons in employment (ILO),1999Q2,Part-time,Female,209.1
Persons in employment (ILO),1999Q3,All employment status,Both sexes,1746.8
Persons in employment (ILO),1999Q3,All employment status,Male,1039.4
Persons in employment (ILO),1999Q3,All employment status,Female,707.4
Persons in employment (ILO),1999Q3,Full-time,Both sexes,1447.2
Persons in employment (ILO),1999Q3,Full-time,Male,954.6
Persons in employment (ILO),1999Q3,Full-time,Female,492.5
Persons in employment (ILO),1999Q3,Part-time,Both sexes,299.6
Persons in employment (ILO),1999Q3,Part-time,Male,84.8
Persons in employment (ILO),1999Q3,Part-time,Female,214.8
Persons in employment (ILO),1999Q4,All employment status,Both sexes,1723.1
Persons in employment (ILO),1999Q4,All employment status,Male,1026.1
Persons in employment (ILO),1999Q4,All employment status,Female,696.9
Persons in employment (ILO),1999Q4,Full-time,Both sexes,1427.3
Persons in employment (ILO),1999Q4,Full-time,Male,946.4
Persons in employment (ILO),1999Q4,Full-time,Female,480.9
Persons in employment (ILO),1999Q4,Part-time,Both sexes,295.8
Persons in employment (ILO),1999Q4,Part-time,Male,79.7
Persons in employment (ILO),1999Q4,Part-time,Female,216.1
Persons in employment (ILO),2000Q1,All employment status,Both sexes,1726.8
Persons in employment (ILO),2000Q1,All employment status,Male,1029.2
Persons in employment (ILO),2000Q1,All employment status,Female,697.6
Persons in employment (ILO),2000Q1,Full-time,Both sexes,1427.8
Persons in employment (ILO),2000Q1,Full-time,Male,948.3
Persons in employment (ILO),2000Q1,Full-time,Female,479.5
Persons in employment (ILO),2000Q1,Part-time,Both sexes,299.0
Persons in employment (ILO),2000Q1,Part-time,Male,80.9
Persons in employment (ILO),2000Q1,Part-time,Female,218.1
Persons in employment (ILO),2000Q2,All employment status,Both sexes,1758.2
Persons in employment (ILO),2000Q2,All employment status,Male,1041.8
Persons in employment (ILO),2000Q2,All employment status,Female,716.4
Persons in employment (ILO),2000Q2,Full-time,Both sexes,1456.5
Persons in employment (ILO),2000Q2,Full-time,Male,961.3
Persons in employment (ILO),2000Q2,Full-time,Female,495.3
Persons in employment (ILO),2000Q2,Part-time,Both sexes,301.7
Persons in employment (ILO),2000Q2,Part-time,Male,80.5
Persons in employment (ILO),2000Q2,Part-time,Female,221.1
Persons in employment (ILO),2000Q3,All employment status,Both sexes,1818.4
Persons in employment (ILO),2000Q3,All employment status,Male,1073.3
Persons in employment (ILO),2000Q3,All employment status,Female,745.2
Persons in employment (ILO),2000Q3,Full-time,Both sexes,1512.0
Persons in employment (ILO),2000Q3,Full-time,Male,991.8
Persons in employment (ILO),2000Q3,Full-time,Female,520.2
Persons in employment (ILO),2000Q3,Part-time,Both sexes,306.5
Persons in employment (ILO),2000Q3,Part-time,Male,81.5
Persons in employment (ILO),2000Q3,Part-time,Female,224.9
Persons in employment (ILO),2000Q4,All employment status,Both sexes,1787.6
Persons in employment (ILO),2000Q4,All employment status,Male,1057.7
Persons in employment (ILO),2000Q4,All employment status,Female,729.9
Persons in employment (ILO),2000Q4,Full-time,Both sexes,1484.0
Persons in employment (ILO),2000Q4,Full-time,Male,978.9
Persons in employment (ILO),2000Q4,Full-time,Female,505.1
Persons in employment (ILO),2000Q4,Part-time,Both sexes,303.6
Persons in employment (ILO),2000Q4,Part-time,Male,78.8
Persons in employment (ILO),2000Q4,Part-time,Female,224.8
Persons in employment (ILO),2001Q1,All employment status,Both sexes,1780.4
Persons in employment (ILO),2001Q1,All employment status,Male,1053.9
