Statistic,Quarter,Reasons for being in Part-Time Employment,Sex,value
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,All reasons for being in part-time employment,Both sexes,267.7
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,All reasons for being in part-time employment,Male,78.9
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,All reasons for being in part-time employment,Female,188.9
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,"School, education or training",Both sexes,51.7
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,"School, education or training",Male,26.0
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,"School, education or training",Female,25.8
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,Illness or disability,Both sexes,6.1
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,Illness or disability,Male,3.3
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,Illness or disability,Female,2.8
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,Could not find full-time employment,Both sexes,65.7
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,Could not find full-time employment,Male,32.1
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,Could not find full-time employment,Female,33.6
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,Other reasons,Both sexes,137.1
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,Other reasons,Male,15.3
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,Other reasons,Female,121.8
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,No answer given,Both sexes,7.1
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,No answer given,Male,2.2
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q1,No answer given,Female,4.9
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,All reasons for being in part-time employment,Both sexes,270.0
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,All reasons for being in part-time employment,Male,79.4
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,All reasons for being in part-time employment,Female,190.7
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,"School, education or training",Both sexes,49.8
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,"School, education or training",Male,25.2
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,"School, education or training",Female,24.5
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,Illness or disability,Both sexes,5.3
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,Illness or disability,Male,3.2
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,Illness or disability,Female,2.1
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,Could not find full-time employment,Both sexes,64.4
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,Could not find full-time employment,Male,31.3
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,Could not find full-time employment,Female,33.2
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,Other reasons,Both sexes,137.5
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,Other reasons,Male,16.3
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,Other reasons,Female,121.1
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,No answer given,Both sexes,13.0
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,No answer given,Male,3.3
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q2,No answer given,Female,9.7
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,All reasons for being in part-time employment,Both sexes,275.3
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,All reasons for being in part-time employment,Male,80.2
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,All reasons for being in part-time employment,Female,195.1
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,"School, education or training",Both sexes,54.1
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,"School, education or training",Male,27.0
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,"School, education or training",Female,27.2
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,Illness or disability,Both sexes,5.0
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,Illness or disability,Male,2.9
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,Illness or disability,Female,2.1
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,Could not find full-time employment,Both sexes,63.6
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,Could not find full-time employment,Male,30.7
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,Could not find full-time employment,Female,32.9
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,Other reasons,Both sexes,146.0
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,Other reasons,Male,18.3
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,Other reasons,Female,127.8
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,No answer given,Both sexes,6.5
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,No answer given,Male,1.3
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q3,No answer given,Female,5.2
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,All reasons for being in part-time employment,Both sexes,269.0
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,All reasons for being in part-time employment,Male,73.8
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,All reasons for being in part-time employment,Female,195.3
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,"School, education or training",Both sexes,50.1
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,"School, education or training",Male,24.3
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,"School, education or training",Female,25.8
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,Illness or disability,Both sexes,4.5
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,Illness or disability,Male,2.8
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,Illness or disability,Female,1.7
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,Could not find full-time employment,Both sexes,60.9
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,Could not find full-time employment,Male,29.3
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,Could not find full-time employment,Female,31.6
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,Other reasons,Both sexes,146.3
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,Other reasons,Male,15.6
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,Other reasons,Female,130.7
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,No answer given,Both sexes,7.2
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,No answer given,Male,1.7
Persons aged 15 years and over in Part-Time Employment (ILO),1998Q4,No answer given,Female,5.5
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,All reasons for being in part-time employment,Both sexes,280.7
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,All reasons for being in part-time employment,Male,77.9
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,All reasons for being in part-time employment,Female,202.8
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,"School, education or training",Both sexes,60.9
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,"School, education or training",Male,29.3
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,"School, education or training",Female,31.7
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,Illness or disability,Both sexes,4.5
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,Illness or disability,Male,3.0
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,Illness or disability,Female,1.5
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,Could not find full-time employment,Both sexes,55.5
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,Could not find full-time employment,Male,27.1
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,Could not find full-time employment,Female,28.4
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,Other reasons,Both sexes,155.3
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,Other reasons,Male,17.6
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,Other reasons,Female,137.8
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,No answer given,Both sexes,4.5
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q1,No answer given,Female,3.5
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,All reasons for being in part-time employment,Both sexes,289.4
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,All reasons for being in part-time employment,Male,80.4
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,All reasons for being in part-time employment,Female,209.1
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,"School, education or training",Both sexes,65.4
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,"School, education or training",Male,31.1
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,"School, education or training",Female,34.2
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,Illness or disability,Both sexes,4.5
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,Illness or disability,Male,2.9
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,Illness or disability,Female,1.6
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,Could not find full-time employment,Both sexes,55.0
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,Could not find full-time employment,Male,26.7
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,Could not find full-time employment,Female,28.3
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,Other reasons,Both sexes,158.6
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,Other reasons,Male,18.3
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,Other reasons,Female,140.3
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,No answer given,Both sexes,5.9
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,No answer given,Male,1.3
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q2,No answer given,Female,4.6
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,All reasons for being in part-time employment,Both sexes,299.6
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,All reasons for being in part-time employment,Male,84.8
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,All reasons for being in part-time employment,Female,214.8
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,"School, education or training",Both sexes,69.3
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,"School, education or training",Male,33.7
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,"School, education or training",Female,35.6
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,Illness or disability,Both sexes,4.1
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,Illness or disability,Male,2.6
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,Illness or disability,Female,1.4
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,Could not find full-time employment,Both sexes,55.9
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,Could not find full-time employment,Male,27.0
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,Could not find full-time employment,Female,28.9
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,Other reasons,Both sexes,162.8
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,Other reasons,Male,19.9
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,Other reasons,Female,142.9
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,No answer given,Both sexes,7.6
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,No answer given,Male,1.6
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q3,No answer given,Female,6.0
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,All reasons for being in part-time employment,Both sexes,295.8
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,All reasons for being in part-time employment,Male,79.7
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,All reasons for being in part-time employment,Female,216.1
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,"School, education or training",Both sexes,66.2
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,"School, education or training",Male,30.7
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,"School, education or training",Female,35.5
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,Illness or disability,Both sexes,5.2
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,Illness or disability,Male,3.8
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,Illness or disability,Female,1.5
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,Could not find full-time employment,Both sexes,50.0
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,Could not find full-time employment,Male,24.2
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,Could not find full-time employment,Female,25.8
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,Other reasons,Both sexes,165.9
