Statistic,Quarter,Sex,ILO Economic Status,value
Persons aged 15 years and over,1998Q1,Both sexes,All ILO economic status,2857.2
Persons aged 15 years and over,1998Q1,Both sexes,In labour force,1699.0
Persons aged 15 years and over,1998Q1,Both sexes,In employment,1550.3
Persons aged 15 years and over,1998Q1,Both sexes,In employment full-time,1282.6
Persons aged 15 years and over,1998Q1,Both sexes,In employment part-time,267.7
Persons aged 15 years and over,1998Q1,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,1998Q1,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,1998Q1,Both sexes,Unemployed,148.7
Persons aged 15 years and over,1998Q1,Both sexes,Unemployed seeking full-time work/future job-starter,115.0
Persons aged 15 years and over,1998Q1,Both sexes,Unemployed seeking part-time work,27.9
Persons aged 15 years and over,1998Q1,Both sexes,Not in labour force,1158.2
Persons aged 15 years and over,1998Q1,Both sexes,Potential additional labour force,28.0
Persons aged 15 years and over,1998Q1,Both sexes,Others not in labour force,1130.1
Persons aged 15 years and over,1998Q1,Both sexes,Unemployed seeking work as self-employed,5.8
Persons aged 15 years and over,1998Q1,Male,All ILO economic status,1404.5
Persons aged 15 years and over,1998Q1,Male,In labour force,1019.6
Persons aged 15 years and over,1998Q1,Male,In employment,934.9
Persons aged 15 years and over,1998Q1,Male,In employment full-time,856.0
Persons aged 15 years and over,1998Q1,Male,In employment part-time,78.9
Persons aged 15 years and over,1998Q1,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,1998Q1,Male,In employment part-time - underemployed,
Persons aged 15 years and over,1998Q1,Male,Unemployed,84.7
Persons aged 15 years and over,1998Q1,Male,Unemployed seeking full-time work/future job-starter,77.4
Persons aged 15 years and over,1998Q1,Male,Unemployed seeking part-time work,3.4
Persons aged 15 years and over,1998Q1,Male,Not in labour force,384.9
Persons aged 15 years and over,1998Q1,Male,Potential additional labour force,14.3
Persons aged 15 years and over,1998Q1,Male,Others not in labour force,370.6
Persons aged 15 years and over,1998Q1,Male,Unemployed seeking work as self-employed,3.9
Persons aged 15 years and over,1998Q1,Female,All ILO economic status,1452.7
Persons aged 15 years and over,1998Q1,Female,In labour force,679.4
Persons aged 15 years and over,1998Q1,Female,In employment,615.4
Persons aged 15 years and over,1998Q1,Female,In employment full-time,426.6
Persons aged 15 years and over,1998Q1,Female,In employment part-time,188.9
Persons aged 15 years and over,1998Q1,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,1998Q1,Female,In employment part-time - underemployed,
Persons aged 15 years and over,1998Q1,Female,Unemployed,64.0
Persons aged 15 years and over,1998Q1,Female,Unemployed seeking full-time work/future job-starter,37.6
Persons aged 15 years and over,1998Q1,Female,Unemployed seeking part-time work,24.5
Persons aged 15 years and over,1998Q1,Female,Not in labour force,773.3
Persons aged 15 years and over,1998Q1,Female,Potential additional labour force,13.7
Persons aged 15 years and over,1998Q1,Female,Others not in labour force,759.5
Persons aged 15 years and over,1998Q1,Female,Unemployed seeking work as self-employed,1.9
Persons aged 15 years and over,1998Q2,Both sexes,All ILO economic status,2872.4
Persons aged 15 years and over,1998Q2,Both sexes,In labour force,1710.7
Persons aged 15 years and over,1998Q2,Both sexes,In employment,1572.0
Persons aged 15 years and over,1998Q2,Both sexes,In employment full-time,1301.9
Persons aged 15 years and over,1998Q2,Both sexes,In employment part-time,270.0
Persons aged 15 years and over,1998Q2,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,1998Q2,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,1998Q2,Both sexes,Unemployed,138.7
Persons aged 15 years and over,1998Q2,Both sexes,Unemployed seeking full-time work/future job-starter,108.6
Persons aged 15 years and over,1998Q2,Both sexes,Unemployed seeking part-time work,24.5
Persons aged 15 years and over,1998Q2,Both sexes,Not in labour force,1161.7
Persons aged 15 years and over,1998Q2,Both sexes,Potential additional labour force,34.5
Persons aged 15 years and over,1998Q2,Both sexes,Others not in labour force,1127.1
Persons aged 15 years and over,1998Q2,Both sexes,Unemployed seeking work as self-employed,5.6
Persons aged 15 years and over,1998Q2,Male,All ILO economic status,1412.2
Persons aged 15 years and over,1998Q2,Male,In labour force,1029.0
Persons aged 15 years and over,1998Q2,Male,In employment,948.2
Persons aged 15 years and over,1998Q2,Male,In employment full-time,868.8
Persons aged 15 years and over,1998Q2,Male,In employment part-time,79.4
Persons aged 15 years and over,1998Q2,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,1998Q2,Male,In employment part-time - underemployed,
Persons aged 15 years and over,1998Q2,Male,Unemployed,80.8
Persons aged 15 years and over,1998Q2,Male,Unemployed seeking full-time work/future job-starter,73.1
Persons aged 15 years and over,1998Q2,Male,Unemployed seeking part-time work,3.6
Persons aged 15 years and over,1998Q2,Male,Not in labour force,383.2
Persons aged 15 years and over,1998Q2,Male,Potential additional labour force,17.1
Persons aged 15 years and over,1998Q2,Male,Others not in labour force,366.1
Persons aged 15 years and over,1998Q2,Male,Unemployed seeking work as self-employed,4.1
Persons aged 15 years and over,1998Q2,Female,All ILO economic status,1460.2
Persons aged 15 years and over,1998Q2,Female,In labour force,681.8
Persons aged 15 years and over,1998Q2,Female,In employment,623.8
Persons aged 15 years and over,1998Q2,Female,In employment full-time,433.1
Persons aged 15 years and over,1998Q2,Female,In employment part-time,190.7
Persons aged 15 years and over,1998Q2,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,1998Q2,Female,In employment part-time - underemployed,
Persons aged 15 years and over,1998Q2,Female,Unemployed,58.0
Persons aged 15 years and over,1998Q2,Female,Unemployed seeking full-time work/future job-starter,35.5
Persons aged 15 years and over,1998Q2,Female,Unemployed seeking part-time work,21.0
Persons aged 15 years and over,1998Q2,Female,Not in labour force,778.5
Persons aged 15 years and over,1998Q2,Female,Potential additional labour force,17.4
Persons aged 15 years and over,1998Q2,Female,Others not in labour force,761.1
Persons aged 15 years and over,1998Q2,Female,Unemployed seeking work as self-employed,1.5
Persons aged 15 years and over,1998Q3,Both sexes,All ILO economic status,2888.5
Persons aged 15 years and over,1998Q3,Both sexes,In labour force,1766.7
Persons aged 15 years and over,1998Q3,Both sexes,In employment,1636.3
Persons aged 15 years and over,1998Q3,Both sexes,In employment full-time,1361.0
Persons aged 15 years and over,1998Q3,Both sexes,In employment part-time,275.3
Persons aged 15 years and over,1998Q3,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,1998Q3,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,1998Q3,Both sexes,Unemployed,130.4
