Statistic,Quarter,Sex,NACE Rev 2 Economic Sector,value
Persons aged 15-89 years in Employment,1998Q1,Both sexes,All NACE economic sectors,1550.3
Persons aged 15-89 years in Employment,1998Q1,Both sexes,"Agriculture, forestry and fishing (A)",135.6
Persons aged 15-89 years in Employment,1998Q1,Both sexes,Construction (F),103.7
Persons aged 15-89 years in Employment,1998Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",219.5
Persons aged 15-89 years in Employment,1998Q1,Both sexes,Transportation and storage (H),65.6
Persons aged 15-89 years in Employment,1998Q1,Both sexes,Accommodation and food service activities (I),99.6
Persons aged 15-89 years in Employment,1998Q1,Both sexes,Information and communication (J),60.9
Persons aged 15-89 years in Employment,1998Q1,Both sexes,"Professional, scientific and technical activities (M)",71.4
Persons aged 15-89 years in Employment,1998Q1,Both sexes,Administrative and support service activities (N),49.0
Persons aged 15-89 years in Employment,1998Q1,Both sexes,"Public administration and defence, compulsory social security (O)",67.7
Persons aged 15-89 years in Employment,1998Q1,Both sexes,Education (P),93.9
Persons aged 15-89 years in Employment,1998Q1,Both sexes,Human health and social work activities (Q),121.7
Persons aged 15-89 years in Employment,1998Q1,Both sexes,Industry (B to E),313.2
Persons aged 15-89 years in Employment,1998Q1,Both sexes,Industry and Construction (B to F),416.9
Persons aged 15-89 years in Employment,1998Q1,Both sexes,Services (G to U),989.8
Persons aged 15-89 years in Employment,1998Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",62.6
Persons aged 15-89 years in Employment,1998Q1,Both sexes,Other NACE activities (R to U),78.1
Persons aged 15-89 years in Employment,1998Q1,Both sexes,Not stated,7.9
Persons aged 15-89 years in Employment,1998Q1,Male,All NACE economic sectors,934.9
Persons aged 15-89 years in Employment,1998Q1,Male,"Agriculture, forestry and fishing (A)",117.5
Persons aged 15-89 years in Employment,1998Q1,Male,Construction (F),100.7
Persons aged 15-89 years in Employment,1998Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",118.3
