Statistic,Sex,NACE Rev 2 Economic Sector,Region,Quarter,value
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,1998Q1,1550.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,1998Q2,1572.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,1998Q3,1636.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,1998Q4,1615.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,1999Q1,1644.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,1999Q2,1679.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,1999Q3,1746.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,1999Q4,1723.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2000Q1,1726.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2000Q2,1758.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2000Q3,1818.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2000Q4,1787.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2001Q1,1780.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2001Q2,1809.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2001Q3,1866.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2001Q4,1833.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2002Q1,1825.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2002Q2,1840.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2002Q3,1883.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2002Q4,1850.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2003Q1,1855.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2003Q2,1874.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2003Q3,1912.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2003Q4,1899.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2004Q1,1902.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2004Q2,1925.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2004Q3,1984.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2004Q4,1973.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2005Q1,1989.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2005Q2,2018.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2005Q3,2073.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2005Q4,2070.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2006Q1,2083.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2006Q2,2110.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2006Q3,2159.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2006Q4,2167.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2007Q1,2186.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2007Q2,2213.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2007Q3,2252.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2007Q4,2232.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2008Q1,2219.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2008Q2,2220.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2008Q3,2209.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2008Q4,2146.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2009Q1,2054.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2009Q2,2029.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2009Q3,2006.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2009Q4,1970.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2010Q1,1936.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2010Q2,1938.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2010Q3,1930.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2010Q4,1897.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2011Q1,1880.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2011Q2,1900.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2011Q3,1885.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,State,2011Q4,1888.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,1998Q1,163.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,1998Q2,166.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,1998Q3,171.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,1998Q4,171.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,1999Q1,176.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,1999Q2,179.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,1999Q3,183.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,1999Q4,180.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2000Q1,181.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2000Q2,186.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2000Q3,191.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2000Q4,192.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2001Q1,191.1
