STATISTIC,Quarter,Sex,NACE Rev 2 Economic Sector,Region,value
Persons aged 15-89 years in Employment,2012Q1,Both sexes,All NACE economic sectors,State,1862.6
Persons aged 15-89 years in Employment,2012Q1,Both sexes,All NACE economic sectors,Border,145.1
Persons aged 15-89 years in Employment,2012Q1,Both sexes,All NACE economic sectors,West,175.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,All NACE economic sectors,Mid-West,188.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,All NACE economic sectors,South-East,153.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,All NACE economic sectors,South-West,276.6
Persons aged 15-89 years in Employment,2012Q1,Both sexes,All NACE economic sectors,Dublin,542.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,All NACE economic sectors,Mid-East,281.6
Persons aged 15-89 years in Employment,2012Q1,Both sexes,All NACE economic sectors,Midland,98.5
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Agriculture, forestry and fishing (A)",State,103.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Agriculture, forestry and fishing (A)",Border,19.1
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Agriculture, forestry and fishing (A)",West,15.0
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,15.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Agriculture, forestry and fishing (A)",South-East,16.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Agriculture, forestry and fishing (A)",South-West,15.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,10.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Agriculture, forestry and fishing (A)",Midland,8.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Construction (F),State,84.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Construction (F),Border,7.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Construction (F),West,8.1
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Construction (F),Mid-West,10.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Construction (F),South-East,7.1
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Construction (F),South-West,14.2
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Construction (F),Dublin,16.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Construction (F),Mid-East,13.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Construction (F),Midland,6.1
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",State,274.1
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Border,19.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",West,24.6
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Mid-West,26.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",South-East,22.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",South-West,44.5
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,75.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Mid-East,44.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Midland,15.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Transportation and storage (H),State,83.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Transportation and storage (H),Border,5.6
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Transportation and storage (H),West,5.1
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Transportation and storage (H),Mid-West,9.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Transportation and storage (H),South-East,6.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Transportation and storage (H),South-West,10.9
