Statistic,Quarter,Region,value
Persons aged 15 years and over in Employment,2012Q1,State,1862.6
Persons aged 15 years and over in Employment,2012Q1,Northern and Western,320.9
Persons aged 15 years and over in Employment,2012Q1,Border,145.1
Persons aged 15 years and over in Employment,2012Q1,West,175.8
Persons aged 15 years and over in Employment,2012Q1,Southern,618.7
Persons aged 15 years and over in Employment,2012Q1,Mid-West,188.8
Persons aged 15 years and over in Employment,2012Q1,South-East,153.3
Persons aged 15 years and over in Employment,2012Q1,South-West,276.6
Persons aged 15 years and over in Employment,2012Q1,Eastern and Midland,923.0
Persons aged 15 years and over in Employment,2012Q1,Dublin,542.9
Persons aged 15 years and over in Employment,2012Q1,Mid-East,281.6
Persons aged 15 years and over in Employment,2012Q1,Midland,98.5
Persons aged 15 years and over in Employment,2012Q2,State,1876.8
Persons aged 15 years and over in Employment,2012Q2,Northern and Western,325.0
Persons aged 15 years and over in Employment,2012Q2,Border,146.5
Persons aged 15 years and over in Employment,2012Q2,West,178.5
Persons aged 15 years and over in Employment,2012Q2,Southern,628.1
Persons aged 15 years and over in Employment,2012Q2,Mid-West,189.4
Persons aged 15 years and over in Employment,2012Q2,South-East,157.9
Persons aged 15 years and over in Employment,2012Q2,South-West,280.7
Persons aged 15 years and over in Employment,2012Q2,Eastern and Midland,923.8
Persons aged 15 years and over in Employment,2012Q2,Dublin,548.9
Persons aged 15 years and over in Employment,2012Q2,Mid-East,276.2
Persons aged 15 years and over in Employment,2012Q2,Midland,98.7
Persons aged 15 years and over in Employment,2012Q3,State,1888.5
Persons aged 15 years and over in Employment,2012Q3,Northern and Western,327.7
Persons aged 15 years and over in Employment,2012Q3,Border,145.7
Persons aged 15 years and over in Employment,2012Q3,West,182.0
Persons aged 15 years and over in Employment,2012Q3,Southern,632.7
Persons aged 15 years and over in Employment,2012Q3,Mid-West,189.1
Persons aged 15 years and over in Employment,2012Q3,South-East,157.5
Persons aged 15 years and over in Employment,2012Q3,South-West,286.1
Persons aged 15 years and over in Employment,2012Q3,Eastern and Midland,928.0
Persons aged 15 years and over in Employment,2012Q3,Dublin,552.2
Persons aged 15 years and over in Employment,2012Q3,Mid-East,276.5
Persons aged 15 years and over in Employment,2012Q3,Midland,99.3
Persons aged 15 years and over in Employment,2012Q4,State,1892.9
Persons aged 15 years and over in Employment,2012Q4,Northern and Western,327.3
Persons aged 15 years and over in Employment,2012Q4,Border,148.1
Persons aged 15 years and over in Employment,2012Q4,West,179.3
Persons aged 15 years and over in Employment,2012Q4,Southern,632.2
Persons aged 15 years and over in Employment,2012Q4,Mid-West,188.6
Persons aged 15 years and over in Employment,2012Q4,South-East,155.4
Persons aged 15 years and over in Employment,2012Q4,South-West,288.2
Persons aged 15 years and over in Employment,2012Q4,Eastern and Midland,933.4
Persons aged 15 years and over in Employment,2012Q4,Dublin,559.5
Persons aged 15 years and over in Employment,2012Q4,Mid-East,274.3
Persons aged 15 years and over in Employment,2012Q4,Midland,99.6
Persons aged 15 years and over in Employment,2013Q1,State,1893.2
Persons aged 15 years and over in Employment,2013Q1,Northern and Western,334.9
Persons aged 15 years and over in Employment,2013Q1,Border,151.6
Persons aged 15 years and over in Employment,2013Q1,West,183.3
Persons aged 15 years and over in Employment,2013Q1,Southern,634.5
Persons aged 15 years and over in Employment,2013Q1,Mid-West,187.2
Persons aged 15 years and over in Employment,2013Q1,South-East,157.5
Persons aged 15 years and over in Employment,2013Q1,South-West,289.8
Persons aged 15 years and over in Employment,2013Q1,Eastern and Midland,923.8
Persons aged 15 years and over in Employment,2013Q1,Dublin,549.5
Persons aged 15 years and over in Employment,2013Q1,Mid-East,272.9
Persons aged 15 years and over in Employment,2013Q1,Midland,101.3
Persons aged 15 years and over in Employment,2013Q2,State,1924.2
Persons aged 15 years and over in Employment,2013Q2,Northern and Western,341.1
Persons aged 15 years and over in Employment,2013Q2,Border,156.5
Persons aged 15 years and over in Employment,2013Q2,West,184.6
Persons aged 15 years and over in Employment,2013Q2,Southern,642.9
Persons aged 15 years and over in Employment,2013Q2,Mid-West,192.2
Persons aged 15 years and over in Employment,2013Q2,South-East,157.9
Persons aged 15 years and over in Employment,2013Q2,South-West,292.7
Persons aged 15 years and over in Employment,2013Q2,Eastern and Midland,940.1
Persons aged 15 years and over in Employment,2013Q2,Dublin,561.7
Persons aged 15 years and over in Employment,2013Q2,Mid-East,274.5
Persons aged 15 years and over in Employment,2013Q2,Midland,104.0
Persons aged 15 years and over in Employment,2013Q3,State,1962.0
Persons aged 15 years and over in Employment,2013Q3,Northern and Western,346.9
Persons aged 15 years and over in Employment,2013Q3,Border,158.4
