NUTS 3 Regions,Quarter,Statistic,value
State,1998Q1,Persons aged 15 years and over in Employment (Thousand),1550.4
State,1998Q1,Unemployed Persons aged 15 years and over (Thousand),150.5
State,1998Q1,Persons aged 15 years and over in Labour Force (Thousand),1700.9
State,1998Q1,ILO Unemployment Rate (15 - 74 years) (%),8.9
State,1998Q1,ILO Participation Rate (15 years and over) (%),59.5
State,1998Q2,Persons aged 15 years and over in Employment (Thousand),1572.1
State,1998Q2,Unemployed Persons aged 15 years and over (Thousand),140.8
State,1998Q2,Persons aged 15 years and over in Labour Force (Thousand),1712.9
State,1998Q2,ILO Unemployment Rate (15 - 74 years) (%),8.3
State,1998Q2,ILO Participation Rate (15 years and over) (%),59.6
State,1998Q3,Persons aged 15 years and over in Employment (Thousand),1636.3
State,1998Q3,Unemployed Persons aged 15 years and over (Thousand),132.9
State,1998Q3,Persons aged 15 years and over in Labour Force (Thousand),1769.2
State,1998Q3,ILO Unemployment Rate (15 - 74 years) (%),7.5
State,1998Q3,ILO Participation Rate (15 years and over) (%),61.3
State,1998Q4,Persons aged 15 years and over in Employment (Thousand),1615.9
State,1998Q4,Unemployed Persons aged 15 years and over (Thousand),110.3
State,1998Q4,Persons aged 15 years and over in Labour Force (Thousand),1726.2
State,1998Q4,ILO Unemployment Rate (15 - 74 years) (%),6.4
State,1998Q4,ILO Participation Rate (15 years and over) (%),59.5
State,1999Q1,Persons aged 15 years and over in Employment (Thousand),1644.5
State,1999Q1,Unemployed Persons aged 15 years and over (Thousand),110.9
State,1999Q1,Persons aged 15 years and over in Labour Force (Thousand),1755.5
State,1999Q1,ILO Unemployment Rate (15 - 74 years) (%),6.3
State,1999Q1,ILO Participation Rate (15 years and over) (%),60.4
State,1999Q2,Persons aged 15 years and over in Employment (Thousand),1679.2
State,1999Q2,Unemployed Persons aged 15 years and over (Thousand),113.0
State,1999Q2,Persons aged 15 years and over in Labour Force (Thousand),1792.3
State,1999Q2,ILO Unemployment Rate (15 - 74 years) (%),6.3
State,1999Q2,ILO Participation Rate (15 years and over) (%),61.5
State,1999Q3,Persons aged 15 years and over in Employment (Thousand),1746.8
State,1999Q3,Unemployed Persons aged 15 years and over (Thousand),104.9
State,1999Q3,Persons aged 15 years and over in Labour Force (Thousand),1851.7
State,1999Q3,ILO Unemployment Rate (15 - 74 years) (%),5.7
State,1999Q3,ILO Participation Rate (15 years and over) (%),63.2
State,1999Q4,Persons aged 15 years and over in Employment (Thousand),1723.1
State,1999Q4,Unemployed Persons aged 15 years and over (Thousand),92.7
State,1999Q4,Persons aged 15 years and over in Labour Force (Thousand),1815.8
State,1999Q4,ILO Unemployment Rate (15 - 74 years) (%),5.1
State,1999Q4,ILO Participation Rate (15 years and over) (%),61.6
State,2000Q1,Persons aged 15 years and over in Employment (Thousand),1726.8
State,2000Q1,Unemployed Persons aged 15 years and over (Thousand),87.9
State,2000Q1,Persons aged 15 years and over in Labour Force (Thousand),1814.7
State,2000Q1,ILO Unemployment Rate (15 - 74 years) (%),4.9
State,2000Q1,ILO Participation Rate (15 years and over) (%),61.4
State,2000Q2,Persons aged 15 years and over in Employment (Thousand),1758.4
State,2000Q2,Unemployed Persons aged 15 years and over (Thousand),90.2
State,2000Q2,Persons aged 15 years and over in Labour Force (Thousand),1848.6
State,2000Q2,ILO Unemployment Rate (15 - 74 years) (%),4.9
State,2000Q2,ILO Participation Rate (15 years and over) (%),62.3
State,2000Q3,Persons aged 15 years and over in Employment (Thousand),1818.6
State,2000Q3,Unemployed Persons aged 15 years and over (Thousand),84.8
State,2000Q3,Persons aged 15 years and over in Labour Force (Thousand),1903.4
State,2000Q3,ILO Unemployment Rate (15 - 74 years) (%),4.5
State,2000Q3,ILO Participation Rate (15 years and over) (%),63.8
State,2000Q4,Persons aged 15 years and over in Employment (Thousand),1787.8
State,2000Q4,Unemployed Persons aged 15 years and over (Thousand),69.9
State,2000Q4,Persons aged 15 years and over in Labour Force (Thousand),1857.7
State,2000Q4,ILO Unemployment Rate (15 - 74 years) (%),3.8
State,2000Q4,ILO Participation Rate (15 years and over) (%),61.8
State,2001Q1,Persons aged 15 years and over in Employment (Thousand),1780.5
State,2001Q1,Unemployed Persons aged 15 years and over (Thousand),72.9
State,2001Q1,Persons aged 15 years and over in Labour Force (Thousand),1853.4
State,2001Q1,ILO Unemployment Rate (15 - 74 years) (%),3.9
State,2001Q1,ILO Participation Rate (15 years and over) (%),61.5
State,2001Q2,Persons aged 15 years and over in Employment (Thousand),1809.8
State,2001Q2,Unemployed Persons aged 15 years and over (Thousand),77.8
State,2001Q2,Persons aged 15 years and over in Labour Force (Thousand),1887.6
State,2001Q2,ILO Unemployment Rate (15 - 74 years) (%),4.1
State,2001Q2,ILO Participation Rate (15 years and over) (%),62.4
State,2001Q3,Persons aged 15 years and over in Employment (Thousand),1866.9
State,2001Q3,Unemployed Persons aged 15 years and over (Thousand),87.8
State,2001Q3,Persons aged 15 years and over in Labour Force (Thousand),1954.7
State,2001Q3,ILO Unemployment Rate (15 - 74 years) (%),4.5
State,2001Q3,ILO Participation Rate (15 years and over) (%),64.2
State,2001Q4,Persons aged 15 years and over in Employment (Thousand),1833.2
State,2001Q4,Unemployed Persons aged 15 years and over (Thousand),79.7
State,2001Q4,Persons aged 15 years and over in Labour Force (Thousand),1912.9
State,2001Q4,ILO Unemployment Rate (15 - 74 years) (%),4.2
State,2001Q4,ILO Participation Rate (15 years and over) (%),62.4
State,2002Q1,Persons aged 15 years and over in Employment (Thousand),1825.3
State,2002Q1,Unemployed Persons aged 15 years and over (Thousand),85.7
State,2002Q1,Persons aged 15 years and over in Labour Force (Thousand),1911.0
State,2002Q1,ILO Unemployment Rate (15 - 74 years) (%),4.5
State,2002Q1,ILO Participation Rate (15 years and over) (%),62.1
State,2002Q2,Persons aged 15 years and over in Employment (Thousand),1840.3
State,2002Q2,Unemployed Persons aged 15 years and over (Thousand),91.8
State,2002Q2,Persons aged 15 years and over in Labour Force (Thousand),1932.1
State,2002Q2,ILO Unemployment Rate (15 - 74 years) (%),4.8
State,2002Q2,ILO Participation Rate (15 years and over) (%),62.4
State,2002Q3,Persons aged 15 years and over in Employment (Thousand),1883.6
State,2002Q3,Unemployed Persons aged 15 years and over (Thousand),91.2
State,2002Q3,Persons aged 15 years and over in Labour Force (Thousand),1974.7
State,2002Q3,ILO Unemployment Rate (15 - 74 years) (%),4.6
State,2002Q3,ILO Participation Rate (15 years and over) (%),63.5
State,2002Q4,Persons aged 15 years and over in Employment (Thousand),1850.3
State,2002Q4,Unemployed Persons aged 15 years and over (Thousand),97.2
State,2002Q4,Persons aged 15 years and over in Labour Force (Thousand),1947.6
State,2002Q4,ILO Unemployment Rate (15 - 74 years) (%),5.0
State,2002Q4,ILO Participation Rate (15 years and over) (%),62.3
State,2003Q1,Persons aged 15 years and over in Employment (Thousand),1855.7
State,2003Q1,Unemployed Persons aged 15 years and over (Thousand),93.2
State,2003Q1,Persons aged 15 years and over in Labour Force (Thousand),1948.9
State,2003Q1,ILO Unemployment Rate (15 - 74 years) (%),4.8
State,2003Q1,ILO Participation Rate (15 years and over) (%),62.1
State,2003Q2,Persons aged 15 years and over in Employment (Thousand),1874.0
State,2003Q2,Unemployed Persons aged 15 years and over (Thousand),96.7
State,2003Q2,Persons aged 15 years and over in Labour Force (Thousand),1970.7
State,2003Q2,ILO Unemployment Rate (15 - 74 years) (%),4.9
State,2003Q2,ILO Participation Rate (15 years and over) (%),62.6
State,2003Q3,Persons aged 15 years and over in Employment (Thousand),1912.9
State,2003Q3,Unemployed Persons aged 15 years and over (Thousand),103.9
State,2003Q3,Persons aged 15 years and over in Labour Force (Thousand),2016.8
State,2003Q3,ILO Unemployment Rate (15 - 74 years) (%),5.2
State,2003Q3,ILO Participation Rate (15 years and over) (%),63.7
State,2003Q4,Persons aged 15 years and over in Employment (Thousand),1899.5
State,2003Q4,Unemployed Persons aged 15 years and over (Thousand),89.3
State,2003Q4,Persons aged 15 years and over in Labour Force (Thousand),1988.9
State,2003Q4,ILO Unemployment Rate (15 - 74 years) (%),4.5
State,2003Q4,ILO Participation Rate (15 years and over) (%),62.5
State,2004Q1,Persons aged 15 years and over in Employment (Thousand),1902.4
State,2004Q1,Unemployed Persons aged 15 years and over (Thousand),101.8
State,2004Q1,Persons aged 15 years and over in Labour Force (Thousand),2004.2
State,2004Q1,ILO Unemployment Rate (15 - 74 years) (%),5.1
State,2004Q1,ILO Participation Rate (15 years and over) (%),62.7
State,2004Q2,Persons aged 15 years and over in Employment (Thousand),1925.9
State,2004Q2,Unemployed Persons aged 15 years and over (Thousand),97.0
State,2004Q2,Persons aged 15 years and over in Labour Force (Thousand),2022.9
State,2004Q2,ILO Unemployment Rate (15 - 74 years) (%),4.8
State,2004Q2,ILO Participation Rate (15 years and over) (%),63.1
State,2004Q3,Persons aged 15 years and over in Employment (Thousand),1984.2
State,2004Q3,Unemployed Persons aged 15 years and over (Thousand),96.6
State,2004Q3,Persons aged 15 years and over in Labour Force (Thousand),2080.8
State,2004Q3,ILO Unemployment Rate (15 - 74 years) (%),4.7
State,2004Q3,ILO Participation Rate (15 years and over) (%),64.4
State,2004Q4,Persons aged 15 years and over in Employment (Thousand),1973.8
State,2004Q4,Unemployed Persons aged 15 years and over (Thousand),90.9
State,2004Q4,Persons aged 15 years and over in Labour Force (Thousand),2064.7
State,2004Q4,ILO Unemployment Rate (15 - 74 years) (%),4.4
State,2004Q4,ILO Participation Rate (15 years and over) (%),63.5
State,2005Q1,Persons aged 15 years and over in Employment (Thousand),1989.7
State,2005Q1,Unemployed Persons aged 15 years and over (Thousand),91.2
State,2005Q1,Persons aged 15 years and over in Labour Force (Thousand),2080.9
State,2005Q1,ILO Unemployment Rate (15 - 74 years) (%),4.4
State,2005Q1,ILO Participation Rate (15 years and over) (%),63.6
State,2005Q2,Persons aged 15 years and over in Employment (Thousand),2018.1
State,2005Q2,Unemployed Persons aged 15 years and over (Thousand),106.3
State,2005Q2,Persons aged 15 years and over in Labour Force (Thousand),2124.3
State,2005Q2,ILO Unemployment Rate (15 - 74 years) (%),5.0
State,2005Q2,ILO Participation Rate (15 years and over) (%),64.6
State,2005Q3,Persons aged 15 years and over in Employment (Thousand),2073.5
State,2005Q3,Unemployed Persons aged 15 years and over (Thousand),106.0
State,2005Q3,Persons aged 15 years and over in Labour Force (Thousand),2179.5
State,2005Q3,ILO Unemployment Rate (15 - 74 years) (%),4.9
State,2005Q3,ILO Participation Rate (15 years and over) (%),65.8
State,2005Q4,Persons aged 15 years and over in Employment (Thousand),2070.1
State,2005Q4,Unemployed Persons aged 15 years and over (Thousand),91.9
