Statistic,Quarter,Age Group,Sex,value
Person aged 15 years and over in the Labour Force,1998Q1,15 - 19 years,Both sexes,140.2
Person aged 15 years and over in the Labour Force,1998Q1,15 - 19 years,Male,83.8
Person aged 15 years and over in the Labour Force,1998Q1,15 - 19 years,Female,56.4
Person aged 15 years and over in the Labour Force,1998Q1,15 - 24 years,Both sexes,389.8
Person aged 15 years and over in the Labour Force,1998Q1,15 - 24 years,Male,215.1
Person aged 15 years and over in the Labour Force,1998Q1,15 - 24 years,Female,174.7
Person aged 15 years and over in the Labour Force,1998Q1,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,1998Q1,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,1998Q1,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,1998Q1,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,1998Q1,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,1998Q1,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,1998Q1,15 years and over,Both sexes,1699.0
Person aged 15 years and over in the Labour Force,1998Q1,15 years and over,Male,1019.6
Person aged 15 years and over in the Labour Force,1998Q1,15 years and over,Female,679.4
Person aged 15 years and over in the Labour Force,1998Q1,20 - 24 years,Both sexes,249.6
Person aged 15 years and over in the Labour Force,1998Q1,20 - 24 years,Male,131.3
Person aged 15 years and over in the Labour Force,1998Q1,20 - 24 years,Female,118.3
Person aged 15 years and over in the Labour Force,1998Q1,25 - 34 years,Both sexes,449.1
Person aged 15 years and over in the Labour Force,1998Q1,25 - 34 years,Male,248.9
Person aged 15 years and over in the Labour Force,1998Q1,25 - 34 years,Female,200.2
Person aged 15 years and over in the Labour Force,1998Q1,35 - 44 years,Both sexes,396.1
Person aged 15 years and over in the Labour Force,1998Q1,35 - 44 years,Male,239.0
Person aged 15 years and over in the Labour Force,1998Q1,35 - 44 years,Female,157.0
Person aged 15 years and over in the Labour Force,1998Q1,45 - 54 years,Both sexes,295.9
Person aged 15 years and over in the Labour Force,1998Q1,45 - 54 years,Male,193.6
Person aged 15 years and over in the Labour Force,1998Q1,45 - 54 years,Female,102.3
Person aged 15 years and over in the Labour Force,1998Q1,55 - 59 years,Both sexes,83.9
Person aged 15 years and over in the Labour Force,1998Q1,55 - 59 years,Male,59.2
Person aged 15 years and over in the Labour Force,1998Q1,55 - 59 years,Female,24.7
Person aged 15 years and over in the Labour Force,1998Q1,60 - 64 years,Both sexes,50.1
Person aged 15 years and over in the Labour Force,1998Q1,60 - 64 years,Male,37.0
Person aged 15 years and over in the Labour Force,1998Q1,60 - 64 years,Female,13.1
Person aged 15 years and over in the Labour Force,1998Q1,65 years and over,Both sexes,34.2
Person aged 15 years and over in the Labour Force,1998Q1,65 years and over,Male,26.8
Person aged 15 years and over in the Labour Force,1998Q1,65 years and over,Female,7.5
Person aged 15 years and over in the Labour Force,1998Q1,25 - 74 years,Both sexes,1302.8
Person aged 15 years and over in the Labour Force,1998Q1,25 - 74 years,Male,799.6
Person aged 15 years and over in the Labour Force,1998Q1,25 - 74 years,Female,503.2
