STATISTIC,Quarter,Sex,Usual Hours Worked,value
Persons aged 15-89 years in Employment,1998Q1,Both sexes,1-9 hours,32.7
Persons aged 15-89 years in Employment,1998Q1,Both sexes,10-19 hours,80.8
Persons aged 15-89 years in Employment,1998Q1,Both sexes,20-29 hours,133.0
Persons aged 15-89 years in Employment,1998Q1,Both sexes,30-34 hours,47.1
Persons aged 15-89 years in Employment,1998Q1,Both sexes,35-39 hours,413.2
Persons aged 15-89 years in Employment,1998Q1,Both sexes,40-44 hours,356.5
Persons aged 15-89 years in Employment,1998Q1,Both sexes,45 hours and over,277.2
Persons aged 15-89 years in Employment,1998Q1,Both sexes,Variable hours (see note),209.6
Persons aged 15-89 years in Employment,1998Q1,Male,1-9 hours,11.4
Persons aged 15-89 years in Employment,1998Q1,Male,10-19 hours,21.0
Persons aged 15-89 years in Employment,1998Q1,Male,20-29 hours,35.2
Persons aged 15-89 years in Employment,1998Q1,Male,30-34 hours,17.0
Persons aged 15-89 years in Employment,1998Q1,Male,35-39 hours,216.2
Persons aged 15-89 years in Employment,1998Q1,Male,40-44 hours,236.9
Persons aged 15-89 years in Employment,1998Q1,Male,45 hours and over,234.4
Persons aged 15-89 years in Employment,1998Q1,Male,Variable hours (see note),162.6
Persons aged 15-89 years in Employment,1998Q1,Female,1-9 hours,21.3
Persons aged 15-89 years in Employment,1998Q1,Female,10-19 hours,59.8
Persons aged 15-89 years in Employment,1998Q1,Female,20-29 hours,97.8
Persons aged 15-89 years in Employment,1998Q1,Female,30-34 hours,30.1
Persons aged 15-89 years in Employment,1998Q1,Female,35-39 hours,197.0
Persons aged 15-89 years in Employment,1998Q1,Female,40-44 hours,119.6
Persons aged 15-89 years in Employment,1998Q1,Female,45 hours and over,42.8
Persons aged 15-89 years in Employment,1998Q1,Female,Variable hours (see note),47.0
Persons aged 15-89 years in Employment,1998Q2,Both sexes,1-9 hours,26.5
Persons aged 15-89 years in Employment,1998Q2,Both sexes,10-19 hours,78.2
Persons aged 15-89 years in Employment,1998Q2,Both sexes,20-29 hours,143.8
Persons aged 15-89 years in Employment,1998Q2,Both sexes,30-34 hours,50.6
Persons aged 15-89 years in Employment,1998Q2,Both sexes,35-39 hours,425.9
Persons aged 15-89 years in Employment,1998Q2,Both sexes,40-44 hours,362.2
Persons aged 15-89 years in Employment,1998Q2,Both sexes,45 hours and over,281.2
Persons aged 15-89 years in Employment,1998Q2,Both sexes,Variable hours (see note),203.5
Persons aged 15-89 years in Employment,1998Q2,Male,1-9 hours,9.1
Persons aged 15-89 years in Employment,1998Q2,Male,10-19 hours,19.3
Persons aged 15-89 years in Employment,1998Q2,Male,20-29 hours,40.1
Persons aged 15-89 years in Employment,1998Q2,Male,30-34 hours,17.5
Persons aged 15-89 years in Employment,1998Q2,Male,35-39 hours,223.4
Persons aged 15-89 years in Employment,1998Q2,Male,40-44 hours,241.1
Persons aged 15-89 years in Employment,1998Q2,Male,45 hours and over,239.1
Persons aged 15-89 years in Employment,1998Q2,Male,Variable hours (see note),158.6
Persons aged 15-89 years in Employment,1998Q2,Female,1-9 hours,17.4
Persons aged 15-89 years in Employment,1998Q2,Female,10-19 hours,58.9
Persons aged 15-89 years in Employment,1998Q2,Female,20-29 hours,103.7
Persons aged 15-89 years in Employment,1998Q2,Female,30-34 hours,33.1
Persons aged 15-89 years in Employment,1998Q2,Female,35-39 hours,202.5
Persons aged 15-89 years in Employment,1998Q2,Female,40-44 hours,121.1
Persons aged 15-89 years in Employment,1998Q2,Female,45 hours and over,42.1
Persons aged 15-89 years in Employment,1998Q2,Female,Variable hours (see note),44.9
Persons aged 15-89 years in Employment,1998Q3,Both sexes,1-9 hours,19.8
Persons aged 15-89 years in Employment,1998Q3,Both sexes,10-19 hours,76.5
Persons aged 15-89 years in Employment,1998Q3,Both sexes,20-29 hours,151.8
Persons aged 15-89 years in Employment,1998Q3,Both sexes,30-34 hours,55.2
Persons aged 15-89 years in Employment,1998Q3,Both sexes,35-39 hours,462.3
Persons aged 15-89 years in Employment,1998Q3,Both sexes,40-44 hours,390.1
Persons aged 15-89 years in Employment,1998Q3,Both sexes,45 hours and over,277.6
Persons aged 15-89 years in Employment,1998Q3,Both sexes,Variable hours (see note),202.8
Persons aged 15-89 years in Employment,1998Q3,Male,1-9 hours,5.0
Persons aged 15-89 years in Employment,1998Q3,Male,10-19 hours,18.5
Persons aged 15-89 years in Employment,1998Q3,Male,20-29 hours,42.4
Persons aged 15-89 years in Employment,1998Q3,Male,30-34 hours,20.7
