Statistic,Nationality,NACE Rev 2 Economic Sector,Quarter,value
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,1998Q1,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,1998Q2,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,1998Q3,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,1998Q4,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,1999Q1,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,1999Q2,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,1999Q3,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,1999Q4,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2000Q1,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2000Q2,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2000Q3,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2000Q4,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2001Q1,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2001Q2,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2001Q3,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2001Q4,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2002Q1,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2002Q2,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2002Q3,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2002Q4,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2003Q1,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2003Q2,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2003Q3,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2003Q4,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2004Q1,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2004Q2,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2004Q3,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2004Q4,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2005Q1,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2005Q2,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2005Q3,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2005Q4,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2006Q1,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2006Q2,
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2006Q3,2159.6
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2006Q4,2167.6
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2007Q1,2186.9
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2007Q2,2213.4
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2007Q3,2252.2
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2007Q4,2232.9
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2008Q1,2219.5
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2008Q2,2220.1
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2008Q3,2209.8
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2008Q4,2146.6
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2009Q1,2054.1
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2009Q2,2029.3
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2009Q3,2006.8
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2009Q4,1970.4
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2010Q1,1936.0
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2010Q2,1938.0
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2010Q3,1930.6
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2010Q4,1897.7
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2011Q1,1880.4
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2011Q2,1900.1
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2011Q3,1885.2
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2011Q4,1888.2
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2012Q1,1863.2
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2012Q2,1878.0
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2012Q3,1887.0
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2012Q4,1893.6
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2013Q1,1892.0
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2013Q2,1926.3
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2013Q3,1961.8
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2013Q4,1971.0
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2014Q1,1950.7
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2014Q2,1970.3
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2014Q3,2008.9
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2014Q4,2025.2
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2015Q1,2014.4
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2015Q2,2049.7
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2015Q3,2079.9
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2015Q4,2085.4
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2016Q1,2080.8
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2016Q2,2126.7
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2016Q3,2158.0
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2016Q4,2163.5
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2017Q1,2158.4
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2017Q2,2180.9
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2017Q3,2206.5
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2017Q4,2230.8
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2018Q1,2220.7
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2018Q2,2255.0
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2018Q3,2273.2
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2018Q4,2281.3
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2019Q1,2301.9
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2019Q2,2300.0
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2019Q3,2326.9
Persons aged 15 years and over in Employment,All nationalities,All NACE economic sectors,2019Q4,2361.2
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",1998Q1,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",1998Q2,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",1998Q3,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",1998Q4,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",1999Q1,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",1999Q2,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",1999Q3,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",1999Q4,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2000Q1,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2000Q2,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2000Q3,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2000Q4,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2001Q1,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2001Q2,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2001Q3,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2001Q4,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2002Q1,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2002Q2,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2002Q3,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2002Q4,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2003Q1,
