Statistic,Nationality,ILO Economic Status,Quarter,value
Persons aged 15 years and over,All nationalities,All ILO economic status,1998Q1,
Persons aged 15 years and over,All nationalities,All ILO economic status,1998Q2,
Persons aged 15 years and over,All nationalities,All ILO economic status,1998Q3,
Persons aged 15 years and over,All nationalities,All ILO economic status,1998Q4,
Persons aged 15 years and over,All nationalities,All ILO economic status,1999Q1,
Persons aged 15 years and over,All nationalities,All ILO economic status,1999Q2,
Persons aged 15 years and over,All nationalities,All ILO economic status,1999Q3,
Persons aged 15 years and over,All nationalities,All ILO economic status,1999Q4,
Persons aged 15 years and over,All nationalities,All ILO economic status,2000Q1,
Persons aged 15 years and over,All nationalities,All ILO economic status,2000Q2,
Persons aged 15 years and over,All nationalities,All ILO economic status,2000Q3,
Persons aged 15 years and over,All nationalities,All ILO economic status,2000Q4,
Persons aged 15 years and over,All nationalities,All ILO economic status,2001Q1,
Persons aged 15 years and over,All nationalities,All ILO economic status,2001Q2,
Persons aged 15 years and over,All nationalities,All ILO economic status,2001Q3,
Persons aged 15 years and over,All nationalities,All ILO economic status,2001Q4,
Persons aged 15 years and over,All nationalities,All ILO economic status,2002Q1,
Persons aged 15 years and over,All nationalities,All ILO economic status,2002Q2,
Persons aged 15 years and over,All nationalities,All ILO economic status,2002Q3,
Persons aged 15 years and over,All nationalities,All ILO economic status,2002Q4,
Persons aged 15 years and over,All nationalities,All ILO economic status,2003Q1,
Persons aged 15 years and over,All nationalities,All ILO economic status,2003Q2,
Persons aged 15 years and over,All nationalities,All ILO economic status,2003Q3,
Persons aged 15 years and over,All nationalities,All ILO economic status,2003Q4,
Persons aged 15 years and over,All nationalities,All ILO economic status,2004Q1,
Persons aged 15 years and over,All nationalities,All ILO economic status,2004Q2,
Persons aged 15 years and over,All nationalities,All ILO economic status,2004Q3,
Persons aged 15 years and over,All nationalities,All ILO economic status,2004Q4,
Persons aged 15 years and over,All nationalities,All ILO economic status,2005Q1,
Persons aged 15 years and over,All nationalities,All ILO economic status,2005Q2,
Persons aged 15 years and over,All nationalities,All ILO economic status,2005Q3,
Persons aged 15 years and over,All nationalities,All ILO economic status,2005Q4,
Persons aged 15 years and over,All nationalities,All ILO economic status,2006Q1,
Persons aged 15 years and over,All nationalities,All ILO economic status,2006Q2,
Persons aged 15 years and over,All nationalities,All ILO economic status,2006Q3,3414.6
Persons aged 15 years and over,All nationalities,All ILO economic status,2006Q4,3446.4
Persons aged 15 years and over,All nationalities,All ILO economic status,2007Q1,3472.7
Persons aged 15 years and over,All nationalities,All ILO economic status,2007Q2,3498.2
Persons aged 15 years and over,All nationalities,All ILO economic status,2007Q3,3520.5
Persons aged 15 years and over,All nationalities,All ILO economic status,2007Q4,3543.7
