STATISTIC,Quarter,Age Group,Sex,Marital Status,value
ILO Participation Rates  (%),1998Q1,15 - 19 years,Both sexes,Single - never married,40.8
ILO Participation Rates  (%),1998Q1,15 - 19 years,Both sexes,Married,
ILO Participation Rates  (%),1998Q1,15 - 19 years,Both sexes,Widowed,
ILO Participation Rates  (%),1998Q1,15 - 19 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),1998Q1,15 - 19 years,Both sexes,All marital status,40.8
ILO Participation Rates  (%),1998Q1,15 - 19 years,Male,Single - never married,47.6
ILO Participation Rates  (%),1998Q1,15 - 19 years,Male,Married,
ILO Participation Rates  (%),1998Q1,15 - 19 years,Male,Widowed,
ILO Participation Rates  (%),1998Q1,15 - 19 years,Male,Separated or divorced,
ILO Participation Rates  (%),1998Q1,15 - 19 years,Male,All marital status,47.7
ILO Participation Rates  (%),1998Q1,15 - 19 years,Female,Single - never married,33.6
ILO Participation Rates  (%),1998Q1,15 - 19 years,Female,Married,
ILO Participation Rates  (%),1998Q1,15 - 19 years,Female,Widowed,
ILO Participation Rates  (%),1998Q1,15 - 19 years,Female,Separated or divorced,
ILO Participation Rates  (%),1998Q1,15 - 19 years,Female,All marital status,33.6
ILO Participation Rates  (%),1998Q1,15 years and over,Both sexes,Single - never married,66.0
ILO Participation Rates  (%),1998Q1,15 years and over,Both sexes,Married,60.6
ILO Participation Rates  (%),1998Q1,15 years and over,Both sexes,Widowed,12.6
ILO Participation Rates  (%),1998Q1,15 years and over,Both sexes,Separated or divorced,62.0
ILO Participation Rates  (%),1998Q1,15 years and over,Both sexes,All marital status,59.5
ILO Participation Rates  (%),1998Q1,15 years and over,Male,Single - never married,70.4
ILO Participation Rates  (%),1998Q1,15 years and over,Male,Married,77.0
ILO Participation Rates  (%),1998Q1,15 years and over,Male,Widowed,24.6
ILO Participation Rates  (%),1998Q1,15 years and over,Male,Separated or divorced,73.8
ILO Participation Rates  (%),1998Q1,15 years and over,Male,All marital status,72.6
ILO Participation Rates  (%),1998Q1,15 years and over,Female,Single - never married,60.8
ILO Participation Rates  (%),1998Q1,15 years and over,Female,Married,44.1
ILO Participation Rates  (%),1998Q1,15 years and over,Female,Widowed,9.5
ILO Participation Rates  (%),1998Q1,15 years and over,Female,Separated or divorced,55.1
ILO Participation Rates  (%),1998Q1,15 years and over,Female,All marital status,46.8
ILO Participation Rates  (%),1998Q1,20 - 24 years,Both sexes,Single - never married,83.8
ILO Participation Rates  (%),1998Q1,20 - 24 years,Both sexes,Married,76.9
ILO Participation Rates  (%),1998Q1,20 - 24 years,Both sexes,Widowed,
ILO Participation Rates  (%),1998Q1,20 - 24 years,Both sexes,Separated or divorced,
