STATISTIC,Quarter,Broad NACE Rev 2 Economic Sector,Sex,value
Persons aged 15-89 years in Employment,1998Q1,All NACE economic sectors,Both sexes,1550.3
Persons aged 15-89 years in Employment,1998Q1,All NACE economic sectors,Male,934.9
Persons aged 15-89 years in Employment,1998Q1,All NACE economic sectors,Female,615.4
Persons aged 15-89 years in Employment,1998Q1,"Agriculture, forestry and fishing (A)",Both sexes,135.6
Persons aged 15-89 years in Employment,1998Q1,"Agriculture, forestry and fishing (A)",Male,117.5
Persons aged 15-89 years in Employment,1998Q1,"Agriculture, forestry and fishing (A)",Female,18.1
Persons aged 15-89 years in Employment,1998Q1,Industry and Construction (B to F),Both sexes,416.9
Persons aged 15-89 years in Employment,1998Q1,Industry and Construction (B to F),Male,320.0
Persons aged 15-89 years in Employment,1998Q1,Industry and Construction (B to F),Female,96.9
Persons aged 15-89 years in Employment,1998Q1,Services (G to U),Both sexes,989.8
Persons aged 15-89 years in Employment,1998Q1,Services (G to U),Male,492.6
Persons aged 15-89 years in Employment,1998Q1,Services (G to U),Female,497.2
Persons aged 15-89 years in Employment,1998Q2,All NACE economic sectors,Both sexes,1572.0
Persons aged 15-89 years in Employment,1998Q2,All NACE economic sectors,Male,948.2
Persons aged 15-89 years in Employment,1998Q2,All NACE economic sectors,Female,623.8
Persons aged 15-89 years in Employment,1998Q2,"Agriculture, forestry and fishing (A)",Both sexes,135.2
Persons aged 15-89 years in Employment,1998Q2,"Agriculture, forestry and fishing (A)",Male,117.3
Persons aged 15-89 years in Employment,1998Q2,"Agriculture, forestry and fishing (A)",Female,17.9
Persons aged 15-89 years in Employment,1998Q2,Industry and Construction (B to F),Both sexes,424.1
Persons aged 15-89 years in Employment,1998Q2,Industry and Construction (B to F),Male,324.5
Persons aged 15-89 years in Employment,1998Q2,Industry and Construction (B to F),Female,99.6
Persons aged 15-89 years in Employment,1998Q2,Services (G to U),Both sexes,1004.3
Persons aged 15-89 years in Employment,1998Q2,Services (G to U),Male,501.6
Persons aged 15-89 years in Employment,1998Q2,Services (G to U),Female,502.7
Persons aged 15-89 years in Employment,1998Q3,All NACE economic sectors,Both sexes,1636.3
Persons aged 15-89 years in Employment,1998Q3,All NACE economic sectors,Male,982.8
Persons aged 15-89 years in Employment,1998Q3,All NACE economic sectors,Female,653.5
Persons aged 15-89 years in Employment,1998Q3,"Agriculture, forestry and fishing (A)",Both sexes,137.4
Persons aged 15-89 years in Employment,1998Q3,"Agriculture, forestry and fishing (A)",Male,119.4
Persons aged 15-89 years in Employment,1998Q3,"Agriculture, forestry and fishing (A)",Female,18.0
Persons aged 15-89 years in Employment,1998Q3,Industry and Construction (B to F),Both sexes,441.3
Persons aged 15-89 years in Employment,1998Q3,Industry and Construction (B to F),Male,339.4
Persons aged 15-89 years in Employment,1998Q3,Industry and Construction (B to F),Female,101.9
Persons aged 15-89 years in Employment,1998Q3,Services (G to U),Both sexes,1048.4
Persons aged 15-89 years in Employment,1998Q3,Services (G to U),Male,518.6
Persons aged 15-89 years in Employment,1998Q3,Services (G to U),Female,529.9
Persons aged 15-89 years in Employment,1998Q4,All NACE economic sectors,Both sexes,1615.7
Persons aged 15-89 years in Employment,1998Q4,All NACE economic sectors,Male,973.9
Persons aged 15-89 years in Employment,1998Q4,All NACE economic sectors,Female,641.8
Persons aged 15-89 years in Employment,1998Q4,"Agriculture, forestry and fishing (A)",Both sexes,137.0
Persons aged 15-89 years in Employment,1998Q4,"Agriculture, forestry and fishing (A)",Male,119.9
Persons aged 15-89 years in Employment,1998Q4,"Agriculture, forestry and fishing (A)",Female,17.1
Persons aged 15-89 years in Employment,1998Q4,Industry and Construction (B to F),Both sexes,436.2
Persons aged 15-89 years in Employment,1998Q4,Industry and Construction (B to F),Male,340.3
Persons aged 15-89 years in Employment,1998Q4,Industry and Construction (B to F),Female,95.9
Persons aged 15-89 years in Employment,1998Q4,Services (G to U),Both sexes,1031.1
Persons aged 15-89 years in Employment,1998Q4,Services (G to U),Male,506.7
Persons aged 15-89 years in Employment,1998Q4,Services (G to U),Female,524.4
Persons aged 15-89 years in Employment,1999Q1,All NACE economic sectors,Both sexes,1644.4
Persons aged 15-89 years in Employment,1999Q1,All NACE economic sectors,Male,982.9
Persons aged 15-89 years in Employment,1999Q1,All NACE economic sectors,Female,661.5
Persons aged 15-89 years in Employment,1999Q1,"Agriculture, forestry and fishing (A)",Both sexes,139.7
Persons aged 15-89 years in Employment,1999Q1,"Agriculture, forestry and fishing (A)",Male,120.2
Persons aged 15-89 years in Employment,1999Q1,"Agriculture, forestry and fishing (A)",Female,19.5
Persons aged 15-89 years in Employment,1999Q1,Industry and Construction (B to F),Both sexes,438.5
Persons aged 15-89 years in Employment,1999Q1,Industry and Construction (B to F),Male,339.1
Persons aged 15-89 years in Employment,1999Q1,Industry and Construction (B to F),Female,99.4
Persons aged 15-89 years in Employment,1999Q1,Services (G to U),Both sexes,1056.8
Persons aged 15-89 years in Employment,1999Q1,Services (G to U),Male,518.1
Persons aged 15-89 years in Employment,1999Q1,Services (G to U),Female,538.7
Persons aged 15-89 years in Employment,1999Q2,All NACE economic sectors,Both sexes,1679.2
Persons aged 15-89 years in Employment,1999Q2,All NACE economic sectors,Male,1001.8
Persons aged 15-89 years in Employment,1999Q2,All NACE economic sectors,Female,677.4
Persons aged 15-89 years in Employment,1999Q2,"Agriculture, forestry and fishing (A)",Both sexes,138.3
Persons aged 15-89 years in Employment,1999Q2,"Agriculture, forestry and fishing (A)",Male,119.8
Persons aged 15-89 years in Employment,1999Q2,"Agriculture, forestry and fishing (A)",Female,18.5
Persons aged 15-89 years in Employment,1999Q2,Industry and Construction (B to F),Both sexes,446.8
Persons aged 15-89 years in Employment,1999Q2,Industry and Construction (B to F),Male,345.2
Persons aged 15-89 years in Employment,1999Q2,Industry and Construction (B to F),Female,101.6
Persons aged 15-89 years in Employment,1999Q2,Services (G to U),Both sexes,1084.1
Persons aged 15-89 years in Employment,1999Q2,Services (G to U),Male,531.1
Persons aged 15-89 years in Employment,1999Q2,Services (G to U),Female,553.0
Persons aged 15-89 years in Employment,1999Q3,All NACE economic sectors,Both sexes,1746.8
Persons aged 15-89 years in Employment,1999Q3,All NACE economic sectors,Male,1039.4
Persons aged 15-89 years in Employment,1999Q3,All NACE economic sectors,Female,707.4
Persons aged 15-89 years in Employment,1999Q3,"Agriculture, forestry and fishing (A)",Both sexes,143.3
