STATISTIC,Quarter,Sex,value
Average hours worked per week for persons aged 15-89 years in Employment,1998Q1,Both sexes,38.3
Average hours worked per week for persons aged 15-89 years in Employment,1998Q1,Male,42.3
Average hours worked per week for persons aged 15-89 years in Employment,1998Q1,Female,32.8
Average hours worked per week for persons aged 15-89 years in Employment,1998Q2,Both sexes,38.4
Average hours worked per week for persons aged 15-89 years in Employment,1998Q2,Male,42.5
Average hours worked per week for persons aged 15-89 years in Employment,1998Q2,Female,32.9
Average hours worked per week for persons aged 15-89 years in Employment,1998Q3,Both sexes,38.5
Average hours worked per week for persons aged 15-89 years in Employment,1998Q3,Male,42.4
Average hours worked per week for persons aged 15-89 years in Employment,1998Q3,Female,33.2
Average hours worked per week for persons aged 15-89 years in Employment,1998Q4,Both sexes,38.2
Average hours worked per week for persons aged 15-89 years in Employment,1998Q4,Male,42.1
Average hours worked per week for persons aged 15-89 years in Employment,1998Q4,Female,32.8
Average hours worked per week for persons aged 15-89 years in Employment,1999Q1,Both sexes,37.7
Average hours worked per week for persons aged 15-89 years in Employment,1999Q1,Male,41.6
Average hours worked per week for persons aged 15-89 years in Employment,1999Q1,Female,32.5
Average hours worked per week for persons aged 15-89 years in Employment,1999Q2,Both sexes,37.7
Average hours worked per week for persons aged 15-89 years in Employment,1999Q2,Male,41.6
Average hours worked per week for persons aged 15-89 years in Employment,1999Q2,Female,32.6
Average hours worked per week for persons aged 15-89 years in Employment,1999Q3,Both sexes,38.0
Average hours worked per week for persons aged 15-89 years in Employment,1999Q3,Male,41.8
Average hours worked per week for persons aged 15-89 years in Employment,1999Q3,Female,33.0
Average hours worked per week for persons aged 15-89 years in Employment,1999Q4,Both sexes,37.5
Average hours worked per week for persons aged 15-89 years in Employment,1999Q4,Male,41.5
Average hours worked per week for persons aged 15-89 years in Employment,1999Q4,Female,32.4
Average hours worked per week for persons aged 15-89 years in Employment,2000Q1,Both sexes,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2000Q1,Male,41.3
Average hours worked per week for persons aged 15-89 years in Employment,2000Q1,Female,32.4
Average hours worked per week for persons aged 15-89 years in Employment,2000Q2,Both sexes,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2000Q2,Male,41.3
Average hours worked per week for persons aged 15-89 years in Employment,2000Q2,Female,32.6
Average hours worked per week for persons aged 15-89 years in Employment,2000Q3,Both sexes,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2000Q3,Male,41.5
Average hours worked per week for persons aged 15-89 years in Employment,2000Q3,Female,33.0
Average hours worked per week for persons aged 15-89 years in Employment,2000Q4,Both sexes,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2000Q4,Male,41.1
Average hours worked per week for persons aged 15-89 years in Employment,2000Q4,Female,32.4
Average hours worked per week for persons aged 15-89 years in Employment,2001Q1,Both sexes,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2001Q1,Male,41.1
Average hours worked per week for persons aged 15-89 years in Employment,2001Q1,Female,32.3
Average hours worked per week for persons aged 15-89 years in Employment,2001Q2,Both sexes,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2001Q2,Male,41.3
Average hours worked per week for persons aged 15-89 years in Employment,2001Q2,Female,32.4
Average hours worked per week for persons aged 15-89 years in Employment,2001Q3,Both sexes,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2001Q3,Male,41.4
Average hours worked per week for persons aged 15-89 years in Employment,2001Q3,Female,32.8
Average hours worked per week for persons aged 15-89 years in Employment,2001Q4,Both sexes,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2001Q4,Male,41.1
Average hours worked per week for persons aged 15-89 years in Employment,2001Q4,Female,32.2
