STATISTIC,Quarter,Nationality,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment,1998Q1,All nationalities,All NACE economic sectors,1550.3
Persons aged 15 years and over in Employment,1998Q1,All nationalities,"Agriculture, forestry and fishing (A)",135.6
Persons aged 15 years and over in Employment,1998Q1,All nationalities,Construction (F),103.7
Persons aged 15 years and over in Employment,1998Q1,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),219.5
Persons aged 15 years and over in Employment,1998Q1,All nationalities,Transportation and storage (H),65.6
Persons aged 15 years and over in Employment,1998Q1,All nationalities,Accommodation and food service activities (I),99.6
Persons aged 15 years and over in Employment,1998Q1,All nationalities,Information and communication (J),60.9
Persons aged 15 years and over in Employment,1998Q1,All nationalities,"Professional, scientific and technical activities (M)",71.4
Persons aged 15 years and over in Employment,1998Q1,All nationalities,Administrative and support service activities (N),49.0
Persons aged 15 years and over in Employment,1998Q1,All nationalities,Public administration and defence; compulsory social security (O),67.7
Persons aged 15 years and over in Employment,1998Q1,All nationalities,Education (P),93.9
Persons aged 15 years and over in Employment,1998Q1,All nationalities,Human health and social work activities (Q),121.7
Persons aged 15 years and over in Employment,1998Q1,All nationalities,Industry (B to E),313.2
Persons aged 15 years and over in Employment,1998Q1,All nationalities,"Financial, insurance and real estate activities (K, L)",62.6
Persons aged 15 years and over in Employment,1998Q1,All nationalities,Other NACE activities (R to U),78.1
Persons aged 15 years and over in Employment,1998Q1,All nationalities,Not stated,7.9
Persons aged 15 years and over in Employment,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All NACE economic sectors,7.0
Persons aged 15 years and over in Employment,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Construction (F),
Persons aged 15 years and over in Employment,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Transportation and storage (H),
Persons aged 15 years and over in Employment,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Accommodation and food service activities (I),1.5
Persons aged 15 years and over in Employment,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Information and communication (J),
Persons aged 15 years and over in Employment,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Education (P),
Persons aged 15 years and over in Employment,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Industry (B to E),1.3
Persons aged 15 years and over in Employment,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not stated,
Persons aged 15 years and over in Employment,1998Q1,EU15 to EU27 (accession countries joined post 2004),All NACE economic sectors,
Persons aged 15 years and over in Employment,1998Q1,EU15 to EU27 (accession countries joined post 2004),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,1998Q1,EU15 to EU27 (accession countries joined post 2004),Construction (F),
Persons aged 15 years and over in Employment,1998Q1,EU15 to EU27 (accession countries joined post 2004),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment,1998Q1,EU15 to EU27 (accession countries joined post 2004),Transportation and storage (H),
Persons aged 15 years and over in Employment,1998Q1,EU15 to EU27 (accession countries joined post 2004),Accommodation and food service activities (I),
Persons aged 15 years and over in Employment,1998Q1,EU15 to EU27 (accession countries joined post 2004),Information and communication (J),
Persons aged 15 years and over in Employment,1998Q1,EU15 to EU27 (accession countries joined post 2004),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,1998Q1,EU15 to EU27 (accession countries joined post 2004),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,1998Q1,EU15 to EU27 (accession countries joined post 2004),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,1998Q1,EU15 to EU27 (accession countries joined post 2004),Education (P),
Persons aged 15 years and over in Employment,1998Q1,EU15 to EU27 (accession countries joined post 2004),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,1998Q1,EU15 to EU27 (accession countries joined post 2004),Industry (B to E),
Persons aged 15 years and over in Employment,1998Q1,EU15 to EU27 (accession countries joined post 2004),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,1998Q1,EU15 to EU27 (accession countries joined post 2004),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,1998Q1,EU15 to EU27 (accession countries joined post 2004),Not stated,
Persons aged 15 years and over in Employment,1998Q1,UK,All NACE economic sectors,29.5
Persons aged 15 years and over in Employment,1998Q1,UK,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,1998Q1,UK,Construction (F),1.8
Persons aged 15 years and over in Employment,1998Q1,UK,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),3.5
Persons aged 15 years and over in Employment,1998Q1,UK,Transportation and storage (H),1.0
Persons aged 15 years and over in Employment,1998Q1,UK,Accommodation and food service activities (I),2.2
Persons aged 15 years and over in Employment,1998Q1,UK,Information and communication (J),1.6
Persons aged 15 years and over in Employment,1998Q1,UK,"Professional, scientific and technical activities (M)",1.6
Persons aged 15 years and over in Employment,1998Q1,UK,Administrative and support service activities (N),1.6
Persons aged 15 years and over in Employment,1998Q1,UK,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,1998Q1,UK,Education (P),2.4
Persons aged 15 years and over in Employment,1998Q1,UK,Human health and social work activities (Q),2.6
Persons aged 15 years and over in Employment,1998Q1,UK,Industry (B to E),6.0
Persons aged 15 years and over in Employment,1998Q1,UK,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,1998Q1,UK,Other NACE activities (R to U),2.4
Persons aged 15 years and over in Employment,1998Q1,UK,Not stated,
Persons aged 15 years and over in Employment,1998Q1,Irish,All NACE economic sectors,1499.8
Persons aged 15 years and over in Employment,1998Q1,Irish,"Agriculture, forestry and fishing (A)",134.4
Persons aged 15 years and over in Employment,1998Q1,Irish,Construction (F),101.4
