STATISTIC,Quarter,Nationality,ILO Economic Status,value
Persons aged 15 years and over,1998Q1,All nationalities,All ILO economic status,2857.2
Persons aged 15 years and over,1998Q1,All nationalities,In labour force,1699.0
Persons aged 15 years and over,1998Q1,All nationalities,In employment,1550.3
Persons aged 15 years and over,1998Q1,All nationalities,Unemployed,148.7
Persons aged 15 years and over,1998Q1,All nationalities,Not in labour force,1158.2
Persons aged 15 years and over,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,10.5
Persons aged 15 years and over,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,7.5
Persons aged 15 years and over,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,7.0
Persons aged 15 years and over,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,1998Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,3.0
Persons aged 15 years and over,1998Q1,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,
Persons aged 15 years and over,1998Q1,EU15 to EU27 (accession countries joined post 2004),In labour force,
Persons aged 15 years and over,1998Q1,EU15 to EU27 (accession countries joined post 2004),In employment,
Persons aged 15 years and over,1998Q1,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,1998Q1,EU15 to EU27 (accession countries joined post 2004),Not in labour force,
Persons aged 15 years and over,1998Q1,UK,All ILO economic status,57.1
Persons aged 15 years and over,1998Q1,UK,In labour force,34.8
Persons aged 15 years and over,1998Q1,UK,In employment,29.5
Persons aged 15 years and over,1998Q1,UK,Unemployed,5.3
Persons aged 15 years and over,1998Q1,UK,Not in labour force,22.3
Persons aged 15 years and over,1998Q1,Irish,All ILO economic status,2761.6
Persons aged 15 years and over,1998Q1,Irish,In labour force,1641.2
Persons aged 15 years and over,1998Q1,Irish,In employment,1499.8
Persons aged 15 years and over,1998Q1,Irish,Unemployed,141.4
Persons aged 15 years and over,1998Q1,Irish,Not in labour force,1120.4
Persons aged 15 years and over,1998Q1,Non-Irish,All ILO economic status,95.6
Persons aged 15 years and over,1998Q1,Non-Irish,In labour force,57.8
Persons aged 15 years and over,1998Q1,Non-Irish,In employment,50.5
Persons aged 15 years and over,1998Q1,Non-Irish,Unemployed,7.3
Persons aged 15 years and over,1998Q1,Non-Irish,Not in labour force,37.8
Persons aged 15 years and over,1998Q1,Other nationalities (7),All ILO economic status,28.0
Persons aged 15 years and over,1998Q1,Other nationalities (7),In labour force,15.5
