Statistic,Quarter,NACE Rev 2 Economic Sector,value
Actual hours worked per week,1998Q1,All NACE economic sectors,56.7
Actual hours worked per week,1998Q1,"Agriculture, forestry and fishing (A)",7.1
Actual hours worked per week,1998Q1,Construction (F),4.0
Actual hours worked per week,1998Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",7.7
Actual hours worked per week,1998Q1,Transportation and storage (H),2.6
Actual hours worked per week,1998Q1,Accommodation and food service activities (I),3.3
Actual hours worked per week,1998Q1,Information and communication (J),2.3
Actual hours worked per week,1998Q1,"Professional, scientific and technical activities (M)",2.7
Actual hours worked per week,1998Q1,Administrative and support service activities (N),1.6
Actual hours worked per week,1998Q1,"Public administration and defence, compulsory social security (O)",2.4
Actual hours worked per week,1998Q1,Education (P),2.4
Actual hours worked per week,1998Q1,Human health and social work activities (Q),3.9
Actual hours worked per week,1998Q1,Industry (B to E),11.7
Actual hours worked per week,1998Q1,Industry and Construction (B to F),15.7
Actual hours worked per week,1998Q1,Services (G to U),33.6
Actual hours worked per week,1998Q1,"Financial, insurance and real estate activities (K,L)",2.2
Actual hours worked per week,1998Q1,Other NACE activities (R to U),2.5
Actual hours worked per week,1998Q1,Not stated,0.2
Actual hours worked per week,1998Q2,All NACE economic sectors,58.8
Actual hours worked per week,1998Q2,"Agriculture, forestry and fishing (A)",7.5
Actual hours worked per week,1998Q2,Construction (F),4.2
Actual hours worked per week,1998Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",7.9
Actual hours worked per week,1998Q2,Transportation and storage (H),2.6
Actual hours worked per week,1998Q2,Accommodation and food service activities (I),3.7
Actual hours worked per week,1998Q2,Information and communication (J),2.4
Actual hours worked per week,1998Q2,"Professional, scientific and technical activities (M)",2.8
Actual hours worked per week,1998Q2,Administrative and support service activities (N),1.7
Actual hours worked per week,1998Q2,"Public administration and defence, compulsory social security (O)",2.4
Actual hours worked per week,1998Q2,Education (P),2.3
Actual hours worked per week,1998Q2,Human health and social work activities (Q),3.9
Actual hours worked per week,1998Q2,Industry (B to E),12.3
Actual hours worked per week,1998Q2,Industry and Construction (B to F),16.5
Actual hours worked per week,1998Q2,Services (G to U),34.5
Actual hours worked per week,1998Q2,"Financial, insurance and real estate activities (K,L)",2.3
Actual hours worked per week,1998Q2,Other NACE activities (R to U),2.6
Actual hours worked per week,1998Q2,Not stated,0.3
Actual hours worked per week,1998Q3,All NACE economic sectors,59.2
Actual hours worked per week,1998Q3,"Agriculture, forestry and fishing (A)",7.6
Actual hours worked per week,1998Q3,Construction (F),4.4
Actual hours worked per week,1998Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.2
Actual hours worked per week,1998Q3,Transportation and storage (H),2.7
Actual hours worked per week,1998Q3,Accommodation and food service activities (I),4.0
Actual hours worked per week,1998Q3,Information and communication (J),2.5
Actual hours worked per week,1998Q3,"Professional, scientific and technical activities (M)",2.8
Actual hours worked per week,1998Q3,Administrative and support service activities (N),1.7
Actual hours worked per week,1998Q3,"Public administration and defence, compulsory social security (O)",2.4
Actual hours worked per week,1998Q3,Education (P),1.6
Actual hours worked per week,1998Q3,Human health and social work activities (Q),4.0
Actual hours worked per week,1998Q3,Industry (B to E),12.0
Actual hours worked per week,1998Q3,Industry and Construction (B to F),16.4
Actual hours worked per week,1998Q3,Services (G to U),34.9
Actual hours worked per week,1998Q3,"Financial, insurance and real estate activities (K,L)",2.3
Actual hours worked per week,1998Q3,Other NACE activities (R to U),2.7
Actual hours worked per week,1998Q3,Not stated,0.3
Actual hours worked per week,1998Q4,All NACE economic sectors,60.0
Actual hours worked per week,1998Q4,"Agriculture, forestry and fishing (A)",7.1
Actual hours worked per week,1998Q4,Construction (F),4.6
Actual hours worked per week,1998Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.1
Actual hours worked per week,1998Q4,Transportation and storage (H),2.8
Actual hours worked per week,1998Q4,Accommodation and food service activities (I),3.6
Actual hours worked per week,1998Q4,Information and communication (J),2.6
Actual hours worked per week,1998Q4,"Professional, scientific and technical activities (M)",2.9
Actual hours worked per week,1998Q4,Administrative and support service activities (N),1.8
Actual hours worked per week,1998Q4,"Public administration and defence, compulsory social security (O)",2.4
Actual hours worked per week,1998Q4,Education (P),2.5
Actual hours worked per week,1998Q4,Human health and social work activities (Q),4.0
Actual hours worked per week,1998Q4,Industry (B to E),12.2
Actual hours worked per week,1998Q4,Industry and Construction (B to F),16.8
Actual hours worked per week,1998Q4,Services (G to U),35.8
Actual hours worked per week,1998Q4,"Financial, insurance and real estate activities (K,L)",2.4
Actual hours worked per week,1998Q4,Other NACE activities (R to U),2.6
Actual hours worked per week,1998Q4,Not stated,0.4
Actual hours worked per week,1999Q1,All NACE economic sectors,59.5
Actual hours worked per week,1999Q1,"Agriculture, forestry and fishing (A)",7.3
Actual hours worked per week,1999Q1,Construction (F),4.5
Actual hours worked per week,1999Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",7.9
Actual hours worked per week,1999Q1,Transportation and storage (H),2.8
Actual hours worked per week,1999Q1,Accommodation and food service activities (I),3.4
Actual hours worked per week,1999Q1,Information and communication (J),2.7
Actual hours worked per week,1999Q1,"Professional, scientific and technical activities (M)",2.9
Actual hours worked per week,1999Q1,Administrative and support service activities (N),1.8
Actual hours worked per week,1999Q1,"Public administration and defence, compulsory social security (O)",2.5
Actual hours worked per week,1999Q1,Education (P),2.5
Actual hours worked per week,1999Q1,Human health and social work activities (Q),4.0
Actual hours worked per week,1999Q1,Industry (B to E),11.9
Actual hours worked per week,1999Q1,Industry and Construction (B to F),16.4
Actual hours worked per week,1999Q1,Services (G to U),35.4
Actual hours worked per week,1999Q1,"Financial, insurance and real estate activities (K,L)",2.5
Actual hours worked per week,1999Q1,Other NACE activities (R to U),2.6
Actual hours worked per week,1999Q1,Not stated,0.3
Actual hours worked per week,1999Q2,All NACE economic sectors,62.0
