Statistic,Quarter,NACE Rev 2 Economic Sector,Citizenship,value
Persons aged 15 years and over in Employment,2021Q1,All NACE economic sectors,All Countries,2259.9
Persons aged 15 years and over in Employment,2021Q1,All NACE economic sectors,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),60.7
Persons aged 15 years and over in Employment,2021Q1,All NACE economic sectors,EU15 to EU27 (accession countries joined post 2004),137.1
Persons aged 15 years and over in Employment,2021Q1,All NACE economic sectors,United Kingdom,46.4
Persons aged 15 years and over in Employment,2021Q1,All NACE economic sectors,Ireland,1898.0
Persons aged 15 years and over in Employment,2021Q1,All NACE economic sectors,All countries excluding Ireland,361.9
Persons aged 15 years and over in Employment,2021Q1,All NACE economic sectors,"All countries excluding Ireland,United Kingdom and EU272020",117.6
Persons aged 15 years and over in Employment,2021Q1,"Agriculture, forestry and fishing (A)",All Countries,108.6
Persons aged 15 years and over in Employment,2021Q1,"Agriculture, forestry and fishing (A)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q1,"Agriculture, forestry and fishing (A)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q1,"Agriculture, forestry and fishing (A)",United Kingdom,
Persons aged 15 years and over in Employment,2021Q1,"Agriculture, forestry and fishing (A)",Ireland,105.1
Persons aged 15 years and over in Employment,2021Q1,"Agriculture, forestry and fishing (A)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2021Q1,"Agriculture, forestry and fishing (A)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q1,Construction (F),All Countries,124.8
Persons aged 15 years and over in Employment,2021Q1,Construction (F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q1,Construction (F),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q1,Construction (F),United Kingdom,
Persons aged 15 years and over in Employment,2021Q1,Construction (F),Ireland,113.8
Persons aged 15 years and over in Employment,2021Q1,Construction (F),All countries excluding Ireland,
Persons aged 15 years and over in Employment,2021Q1,Construction (F),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All Countries,305.8
Persons aged 15 years and over in Employment,2021Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU15 to EU27 (accession countries joined post 2004),29.4
Persons aged 15 years and over in Employment,2021Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",United Kingdom,
Persons aged 15 years and over in Employment,2021Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Ireland,251.1
Persons aged 15 years and over in Employment,2021Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All countries excluding Ireland,54.7
Persons aged 15 years and over in Employment,2021Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q1,Transportation and storage (H),All Countries,92.2
Persons aged 15 years and over in Employment,2021Q1,Transportation and storage (H),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q1,Transportation and storage (H),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q1,Transportation and storage (H),United Kingdom,
Persons aged 15 years and over in Employment,2021Q1,Transportation and storage (H),Ireland,79.4
Persons aged 15 years and over in Employment,2021Q1,Transportation and storage (H),All countries excluding Ireland,12.8
Persons aged 15 years and over in Employment,2021Q1,Transportation and storage (H),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q1,Accommodation and food service activities (I),All Countries,101.4
Persons aged 15 years and over in Employment,2021Q1,Accommodation and food service activities (I),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q1,Accommodation and food service activities (I),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q1,Accommodation and food service activities (I),United Kingdom,
Persons aged 15 years and over in Employment,2021Q1,Accommodation and food service activities (I),Ireland,73.6
Persons aged 15 years and over in Employment,2021Q1,Accommodation and food service activities (I),All countries excluding Ireland,27.8
Persons aged 15 years and over in Employment,2021Q1,Accommodation and food service activities (I),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q1,Information and communication (J),All Countries,142.8
Persons aged 15 years and over in Employment,2021Q1,Information and communication (J),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q1,Information and communication (J),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q1,Information and communication (J),United Kingdom,
Persons aged 15 years and over in Employment,2021Q1,Information and communication (J),Ireland,100.6
Persons aged 15 years and over in Employment,2021Q1,Information and communication (J),All countries excluding Ireland,42.1
