STATISTIC,Quarter,Age Group,value
Average hours worked per week for persons aged 15-89 years in Employment,1998Q1,15 - 19 years,29.0
Average hours worked per week for persons aged 15-89 years in Employment,1998Q1,15 - 64 years,38.2
Average hours worked per week for persons aged 15-89 years in Employment,1998Q1,15 - 74 years,38.3
Average hours worked per week for persons aged 15-89 years in Employment,1998Q1,15 years and over,38.3
Average hours worked per week for persons aged 15-89 years in Employment,1998Q1,20 - 24 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,1998Q1,25 - 34 years,39.9
Average hours worked per week for persons aged 15-89 years in Employment,1998Q1,35 - 44 years,38.5
Average hours worked per week for persons aged 15-89 years in Employment,1998Q1,45 - 54 years,39.1
Average hours worked per week for persons aged 15-89 years in Employment,1998Q1,55 - 59 years,39.7
Average hours worked per week for persons aged 15-89 years in Employment,1998Q1,60 - 64 years,40.5
Average hours worked per week for persons aged 15-89 years in Employment,1998Q1,65 years and over,41.9
Average hours worked per week for persons aged 15-89 years in Employment,1998Q2,15 - 19 years,30.2
Average hours worked per week for persons aged 15-89 years in Employment,1998Q2,15 - 64 years,38.4
Average hours worked per week for persons aged 15-89 years in Employment,1998Q2,15 - 74 years,38.4
Average hours worked per week for persons aged 15-89 years in Employment,1998Q2,15 years and over,38.4
Average hours worked per week for persons aged 15-89 years in Employment,1998Q2,20 - 24 years,38.3
Average hours worked per week for persons aged 15-89 years in Employment,1998Q2,25 - 34 years,39.7
Average hours worked per week for persons aged 15-89 years in Employment,1998Q2,35 - 44 years,38.5
Average hours worked per week for persons aged 15-89 years in Employment,1998Q2,45 - 54 years,39.2
Average hours worked per week for persons aged 15-89 years in Employment,1998Q2,55 - 59 years,39.9
Average hours worked per week for persons aged 15-89 years in Employment,1998Q2,60 - 64 years,40.6
Average hours worked per week for persons aged 15-89 years in Employment,1998Q2,65 years and over,42.0
Average hours worked per week for persons aged 15-89 years in Employment,1998Q3,15 - 19 years,32.2
Average hours worked per week for persons aged 15-89 years in Employment,1998Q3,15 - 64 years,38.4
Average hours worked per week for persons aged 15-89 years in Employment,1998Q3,15 - 74 years,38.5
Average hours worked per week for persons aged 15-89 years in Employment,1998Q3,15 years and over,38.5
Average hours worked per week for persons aged 15-89 years in Employment,1998Q3,20 - 24 years,38.7
Average hours worked per week for persons aged 15-89 years in Employment,1998Q3,25 - 34 years,39.7
Average hours worked per week for persons aged 15-89 years in Employment,1998Q3,35 - 44 years,38.4
